event_id	pos_id	exon_a	exon_b	exon_c	intron_a	strand	gene_id	gene_name	label	SRR601500_junction_a_start	SRR601500_junction_a_end	SRR601500_junction_a	SRR601500_PSI	SRR604528_junction_a_start	SRR604528_junction_a_end	SRR604528_junction_a	SRR604528_PSI
RI_11	RI@GL000195.1@83958-84067	GL000195.1:83300-83958	GL000195.1:84067-84116	GL000195.1:83300-84116	GL000195.1:83958-84067	-	ENSG00000303853.1	ENSG00000303853	annotated	0	1	0		0	0	0	
RI_12	RI@GL000195.1@84116-84216	GL000195.1:83300-84116	GL000195.1:84216-84295	GL000195.1:83300-84295	GL000195.1:84116-84216	-	ENSG00000303853.1	ENSG00000303853	annotated	1	2	0		0	4	0	
RI_13	RI@GL000195.1@93651-93739	GL000195.1:93495-93651	GL000195.1:93739-93854	GL000195.1:93495-93854	GL000195.1:93651-93739	+	ENSG00000303892.1	ENSG00000303892	annotated	0	0	0		0	0	0	
RI_14	RI@GL000205.2@138010-138119	GL000205.2:137353-138010	GL000205.2:138119-138168	GL000205.2:137353-138168	GL000205.2:138010-138119	-	ENSG00000307088.1	ENSG00000307088	annotated	3	1	0		3	0	0	
RI_15	RI@GL000213.1@23962-24439	GL000213.1:23804-23962	GL000213.1:24439-24533	GL000213.1:23804-24533	GL000213.1:23962-24439	-	ENSG00000298861.1	ENSG00000298861	annotated	0	0	0		0	0	0	
RI_16	RI@GL000214.1@30442-31146	GL000214.1:30357-30442	GL000214.1:31146-31165	GL000214.1:30357-31165	GL000214.1:30442-31146	+	ENSG00000303173.1	ENSG00000303173	annotated	0	0	0		0	0	0	
RI_17	RI@GL000214.1@30565-31146	GL000214.1:30357-30565	GL000214.1:31146-31165	GL000214.1:30357-31165	GL000214.1:30565-31146	+	ENSG00000303173.1	ENSG00000303173	annotated	0	0	0		0	0	0	
RI_18	RI@GL000214.1@52945-53527	GL000214.1:52732-52945	GL000214.1:53527-53808	GL000214.1:52732-53808	GL000214.1:52945-53527	-	ENSG00000303221.1	ENSG00000303221	annotated	0	0	0		0	0	0	
RI_19	RI@GL000214.1@52945-53509	GL000214.1:52732-52945	GL000214.1:53509-53808	GL000214.1:52732-53808	GL000214.1:52945-53509	-	ENSG00000303221.1	ENSG00000303221	annotated	0	0	0		0	0	0	
RI_20	RI@GL000214.1@67448-67694	GL000214.1:67366-67448	GL000214.1:67694-68327	GL000214.1:67366-68327	GL000214.1:67448-67694	+	ENSG00000303173.1	ENSG00000303173	annotated	0	0	0		0	0	0	
RI_21	RI@GL000214.1@67499-67694	GL000214.1:67366-67499	GL000214.1:67694-68327	GL000214.1:67366-68327	GL000214.1:67499-67694	+	ENSG00000303173.1	ENSG00000303173	annotated	0	0	0		0	0	0	
RI_22	RI@GL000218.1@39019-40642	GL000218.1:38781-39019	GL000218.1:40642-40872	GL000218.1:38781-40872	GL000218.1:39019-40642	-	ENSG00000301761.1	ENSG00000301761	annotated	0	1	0		4	0	0	
RI_23	RI@GL000218.1@39019-39874	GL000218.1:38781-39019	GL000218.1:39874-40028	GL000218.1:38781-40028	GL000218.1:39019-39874	-	ENSG00000301761.1	ENSG00000301761	annotated	0	3	1		4	3	0	
RI_24	RI@GL000218.1@39059-39874	GL000218.1:38781-39059	GL000218.1:39874-40028	GL000218.1:38781-40028	GL000218.1:39059-39874	-	ENSG00000301761.1	ENSG00000301761	annotated	0	3	0		4	3	0	
RI_25	RI@GL000218.1@39059-40642	GL000218.1:38781-39059	GL000218.1:40642-40872	GL000218.1:38781-40872	GL000218.1:39059-40642	-	ENSG00000301761.1	ENSG00000301761	annotated	0	1	0		4	0	0	
RI_26	RI@GL000218.1@39088-39874	GL000218.1:38781-39088	GL000218.1:39874-40028	GL000218.1:38781-40028	GL000218.1:39088-39874	-	ENSG00000301761.1	ENSG00000301761	annotated	0	3	0		3	3	0	
RI_27	RI@GL000218.1@39088-40642	GL000218.1:38781-39088	GL000218.1:40642-40872	GL000218.1:38781-40872	GL000218.1:39088-40642	-	ENSG00000301761.1	ENSG00000301761	annotated	0	1	0		3	0	0	
RI_28	RI@GL000218.1@39377-39874	GL000218.1:38781-39377	GL000218.1:39874-40028	GL000218.1:38781-40028	GL000218.1:39377-39874	-	ENSG00000301761.1	ENSG00000301761	annotated	0	3	0		3	3	0	
RI_29	RI@GL000218.1@40028-40642	GL000218.1:38781-40028	GL000218.1:40642-40872	GL000218.1:38781-40872	GL000218.1:40028-40642	-	ENSG00000301761.1	ENSG00000301761	annotated	2	1	4		2	0	2	
RI_30	RI@GL000218.1@39019-39116	GL000218.1:38786-39019	GL000218.1:39116-39203	GL000218.1:38786-39203	GL000218.1:39019-39116	-	ENSG00000301761.1	ENSG00000301761	annotated	0	1	0		4	2	0	
RI_31	RI@GL000218.1@39162-39874	GL000218.1:38786-39162	GL000218.1:39874-40028	GL000218.1:38786-40028	GL000218.1:39162-39874	-	ENSG00000301761.1	ENSG00000301761	annotated	1	3	0		2	3	0	
RI_32	RI@GL000218.1@39201-39874	GL000218.1:38786-39201	GL000218.1:39874-40028	GL000218.1:38786-40028	GL000218.1:39201-39874	-	ENSG00000301761.1	ENSG00000301761	annotated	1	3	0		2	3	0	
RI_33	RI@GL000218.1@39203-39874	GL000218.1:38786-39203	GL000218.1:39874-40028	GL000218.1:38786-40028	GL000218.1:39203-39874	-	ENSG00000301761.1	ENSG00000301761	annotated	1	3	0		2	3	0	
RI_34	RI@GL000218.1@39019-39583	GL000218.1:38790-39019	GL000218.1:39583-39770	GL000218.1:38790-39770	GL000218.1:39019-39583	-	ENSG00000301761.1	ENSG00000301761	annotated	0	3	0		4	6	0	
RI_35	RI@GL000218.1@40055-40642	GL000218.1:39874-40055	GL000218.1:40642-40872	GL000218.1:39874-40872	GL000218.1:40055-40642	-	ENSG00000301761.1	ENSG00000301761	annotated	0	1	0		3	0	0	
RI_36	RI@GL000218.1@47545-47914	GL000218.1:46852-47545	GL000218.1:47914-48142	GL000218.1:46852-48142	GL000218.1:47545-47914	-	ENSG00000301761.1	ENSG00000301761	annotated	7	1	0		2	4	0	
RI_37	RI@GL000218.1@88725-88935	GL000218.1:88537-88725	GL000218.1:88935-89058	GL000218.1:88537-89058	GL000218.1:88725-88935	-	ENSG00000301761.1	ENSG00000301761	annotated	1	3	0		3	2	0	
RI_38	RI@GL000218.1@88725-88843	GL000218.1:88575-88725	GL000218.1:88843-89058	GL000218.1:88575-89058	GL000218.1:88725-88843	-	ENSG00000301761.1	ENSG00000301761	annotated	1	1	0		3	3	0	
RI_39	RI@GL000221.1@4378-4456	GL000221.1:4089-4378	GL000221.1:4456-4543	GL000221.1:4089-4543	GL000221.1:4378-4456	-	ENSG00000304745.1	ENSG00000304745	annotated	0	0	0		0	0	0	
RI_40	RI@GL000221.1@79247-79828	GL000221.1:79228-79247	GL000221.1:79828-80036	GL000221.1:79228-80036	GL000221.1:79247-79828	-	ENSG00000304745.1	ENSG00000304745	annotated	0	0	0		0	0	0	
RI_41	RI@GL000221.1@79420-79951	GL000221.1:79228-79420	GL000221.1:79951-80031	GL000221.1:79228-80031	GL000221.1:79420-79951	-	ENSG00000304745.1	ENSG00000304745	annotated	1	0	1		0	0	0	
RI_42	RI@GL000221.1@79420-79828	GL000221.1:79228-79420	GL000221.1:79828-80036	GL000221.1:79228-80036	GL000221.1:79420-79828	-	ENSG00000304745.1	ENSG00000304745	annotated	1	0	0		0	0	0	
RI_43	RI@GL000221.1@79446-79828	GL000221.1:79228-79446	GL000221.1:79828-80027	GL000221.1:79228-80027	GL000221.1:79446-79828	-	ENSG00000304745.1	ENSG00000304745	annotated	1	0	0		0	0	0	
RI_44	RI@GL000221.1@79446-79951	GL000221.1:79228-79446	GL000221.1:79951-80036	GL000221.1:79228-80036	GL000221.1:79446-79951	-	ENSG00000304745.1	ENSG00000304745	annotated	1	0	0		0	0	0	
RI_45	RI@GL000221.1@79468-79951	GL000221.1:79228-79468	GL000221.1:79951-80036	GL000221.1:79228-80036	GL000221.1:79468-79951	-	ENSG00000304745.1	ENSG00000304745	annotated	0	0	0		0	0	0	
RI_46	RI@GL000221.1@79468-79828	GL000221.1:79228-79468	GL000221.1:79828-80036	GL000221.1:79228-80036	GL000221.1:79468-79828	-	ENSG00000304745.1	ENSG00000304745	annotated	0	0	0		0	0	0	
RI_47	RI@GL000221.1@79513-79828	GL000221.1:79228-79513	GL000221.1:79828-80036	GL000221.1:79228-80036	GL000221.1:79513-79828	-	ENSG00000304745.1	ENSG00000304745	annotated	0	0	0		0	0	1	
RI_48	RI@GL000221.1@79513-79951	GL000221.1:79228-79513	GL000221.1:79951-80010	GL000221.1:79228-80010	GL000221.1:79513-79951	-	ENSG00000304745.1	ENSG00000304745	annotated	0	0	0		0	0	0	
RI_49	RI@KI270706.1@113800-114286	KI270706.1:113533-113800	KI270706.1:114286-115803	KI270706.1:113533-115803	KI270706.1:113800-114286	+	ENSG00000293919.1	ENSG00000293919	annotated	0	0	1		0	0	0	
RI_50	RI@KI270706.1@136772-137250	KI270706.1:136728-136772	KI270706.1:137250-138028	KI270706.1:136728-138028	KI270706.1:136772-137250	+	ENSG00000293919.1	ENSG00000293919	annotated	1	0	0		0	0	0	
RI_51	RI@KI270713.1@6744-6869	KI270713.1:6605-6744	KI270713.1:6869-7142	KI270713.1:6605-7142	KI270713.1:6744-6869	+	ENSG00000298169.1	ENSG00000298169	annotated	0	0	1		0	0	1	
RI_52	RI@KI270719.1@163751-164191	KI270719.1:162712-163751	KI270719.1:164191-164568	KI270719.1:162712-164568	KI270719.1:163751-164191	-	ENSG00000297972.1	ENSG00000297972	annotated	0	0	0		0	0	0	
RI_53	RI@KI270721.1@48284-48436	KI270721.1:48168-48284	KI270721.1:48436-48854	KI270721.1:48168-48854	KI270721.1:48284-48436	+	ENSG00000299870.1	ENSG00000299870	annotated	1	1	0		0	1	0	
RI_54	RI@KI270728.1@27835-28033	KI270728.1:27668-27835	KI270728.1:28033-28317	KI270728.1:27668-28317	KI270728.1:27835-28033	-	ENSG00000303548.1	ENSG00000303548	annotated	0	0	0		0	0	0	
RI_55	RI@KI270734.1@146721-147624	KI270734.1:146640-146721	KI270734.1:147624-147703	KI270734.1:146640-147703	KI270734.1:146721-147624	-	ENSG00000277196.4	ENSG00000277196	unannotated	0	0	119	0.0	0	0	202	0.0
RI_56	RI@KI270742.1@109211-109792	KI270742.1:109192-109211	KI270742.1:109792-109958	KI270742.1:109192-109958	KI270742.1:109211-109792	-	ENSG00000306402.1	ENSG00000306402	annotated	0	0	0		0	0	0	
RI_57	RI@KI270742.1@109211-109915	KI270742.1:109192-109211	KI270742.1:109915-110002	KI270742.1:109192-110002	KI270742.1:109211-109915	-	ENSG00000306402.1	ENSG00000306402	annotated	0	0	0		0	0	0	
RI_58	RI@KI270742.1@109292-109792	KI270742.1:109192-109292	KI270742.1:109792-109995	KI270742.1:109192-109995	KI270742.1:109292-109792	-	ENSG00000306402.1	ENSG00000306402	annotated	0	0	0		0	0	0	
RI_59	RI@KI270742.1@109384-109792	KI270742.1:109192-109384	KI270742.1:109792-110000	KI270742.1:109192-110000	KI270742.1:109384-109792	-	ENSG00000306402.1	ENSG00000306402	annotated	0	0	0		0	0	0	
RI_60	RI@KI270742.1@109384-109915	KI270742.1:109192-109384	KI270742.1:109915-110005	KI270742.1:109192-110005	KI270742.1:109384-109915	-	ENSG00000306402.1	ENSG00000306402	annotated	0	0	1		0	0	0	
RI_61	RI@KI270742.1@109391-109792	KI270742.1:109192-109391	KI270742.1:109792-109964	KI270742.1:109192-109964	KI270742.1:109391-109792	-	ENSG00000306402.1	ENSG00000306402	annotated	0	0	0		0	0	0	
RI_62	RI@KI270742.1@109391-109915	KI270742.1:109192-109391	KI270742.1:109915-109995	KI270742.1:109192-109995	KI270742.1:109391-109915	-	ENSG00000306402.1	ENSG00000306402	annotated	0	0	0		0	0	0	
RI_63	RI@KI270742.1@109410-109915	KI270742.1:109192-109410	KI270742.1:109915-110000	KI270742.1:109192-110000	KI270742.1:109410-109915	-	ENSG00000306402.1	ENSG00000306402	annotated	0	0	0		0	0	0	
RI_64	RI@KI270742.1@109410-109792	KI270742.1:109192-109410	KI270742.1:109792-109995	KI270742.1:109192-109995	KI270742.1:109410-109792	-	ENSG00000306402.1	ENSG00000306402	annotated	0	0	0		0	0	0	
RI_65	RI@KI270742.1@109432-109915	KI270742.1:109192-109432	KI270742.1:109915-110000	KI270742.1:109192-110000	KI270742.1:109432-109915	-	ENSG00000306402.1	ENSG00000306402	annotated	0	0	0		0	0	0	
RI_66	RI@KI270742.1@109432-109792	KI270742.1:109192-109432	KI270742.1:109792-109968	KI270742.1:109192-109968	KI270742.1:109432-109792	-	ENSG00000306402.1	ENSG00000306402	annotated	0	0	0		0	0	0	
RI_67	RI@KI270742.1@109477-109915	KI270742.1:109192-109477	KI270742.1:109915-110000	KI270742.1:109192-110000	KI270742.1:109477-109915	-	ENSG00000306402.1	ENSG00000306402	annotated	0	0	0		0	0	0	
RI_68	RI@KI270742.1@109477-109792	KI270742.1:109192-109477	KI270742.1:109792-110000	KI270742.1:109192-110000	KI270742.1:109477-109792	-	ENSG00000306402.1	ENSG00000306402	annotated	0	0	0		0	0	0	
RI_69	RI@KI270742.1@23587-24072	KI270742.1:22291-23587	KI270742.1:24072-24339	KI270742.1:22291-24339	KI270742.1:23587-24072	-	ENSG00000306402.1	ENSG00000306402	annotated	0	0	0		0	0	0	
RI_70	RI@KI270742.1@49856-50102	KI270742.1:49229-49856	KI270742.1:50102-50184	KI270742.1:49229-50184	KI270742.1:49856-50102	-	ENSG00000306402.1	ENSG00000306402	annotated	0	0	0		0	0	0	
RI_71	RI@KI270751.1@3883-4368	KI270751.1:3479-3883	KI270751.1:4368-4490	KI270751.1:3479-4490	KI270751.1:3883-4368	-	ENSG00000303867.1	ENSG00000303867	annotated	0	0	0		0	0	0	
RI_72	RI@KI270751.1@36391-36637	KI270751.1:35758-36391	KI270751.1:36637-36719	KI270751.1:35758-36719	KI270751.1:36391-36637	-	ENSG00000303867.1	ENSG00000303867	annotated	0	0	0		0	0	0	
RI_73	RI@KI270751.1@36391-36586	KI270751.1:35758-36391	KI270751.1:36586-36719	KI270751.1:35758-36719	KI270751.1:36391-36586	-	ENSG00000303867.1	ENSG00000303867	annotated	0	0	0		0	0	0	
RI_74	RI@KI270751.1@50686-51268	KI270751.1:50405-50686	KI270751.1:51268-51481	KI270751.1:50405-51481	KI270751.1:50686-51268	+	ENSG00000303902.1	ENSG00000303902	annotated	0	0	0		0	0	0	
RI_75	RI@KI270751.1@72929-73510	KI270751.1:72910-72929	KI270751.1:73510-73718	KI270751.1:72910-73718	KI270751.1:72929-73510	-	ENSG00000303867.1	ENSG00000303867	annotated	0	0	0		0	0	0	
RI_76	RI@KI270751.1@73010-73510	KI270751.1:72910-73010	KI270751.1:73510-73718	KI270751.1:72910-73718	KI270751.1:73010-73510	-	ENSG00000303867.1	ENSG00000303867	annotated	0	0	0		0	0	0	
RI_77	RI@chr10@100185637-100185962	chr10:100185514-100185637	chr10:100185962-100186033	chr10:100185514-100186033	chr10:100185637-100185962	-	ENSG00000107566.14	ERLIN1	unannotated	2	0	3		0	0	3	
RI_78	RI@chr10@100185637-100185904	chr10:100185514-100185637	chr10:100185904-100186033	chr10:100185514-100186033	chr10:100185637-100185904	-	ENSG00000107566.14	ERLIN1	unannotated	2	0	0		0	0	1	
RI_79	RI@chr10@100286213-100286301	chr10:100286097-100286213	chr10:100286301-100286378	chr10:100286097-100286378	chr10:100286213-100286301	-	ENSG00000196072.12	BLOC1S2	unannotated	26	12	8	0.7037037037037037	17	7	1	0.9230769230769231
RI_80	RI@chr10@100381448-100382428	chr10:100381216-100381448	chr10:100382428-100383413	chr10:100381216-100383413	chr10:100381448-100382428	+	ENSG00000235823.6	OLMALINC	annotated	6	2	0		5	4	0	
RI_81	RI@chr10@100381448-100382538	chr10:100381216-100381448	chr10:100382538-100383413	chr10:100381216-100383413	chr10:100381448-100382538	+	ENSG00000235823.6	OLMALINC	annotated	6	6	0		5	3	0	
RI_82	RI@chr10@100381448-100382496	chr10:100381216-100381448	chr10:100382496-100383413	chr10:100381216-100383413	chr10:100381448-100382496	+	ENSG00000235823.6	OLMALINC	annotated	6	5	0		5	8	0	
RI_83	RI@chr10@100381448-100382680	chr10:100381216-100381448	chr10:100382680-100383413	chr10:100381216-100383413	chr10:100381448-100382680	+	ENSG00000235823.6	OLMALINC	annotated	6	1	0		5	6	0	
RI_84	RI@chr10@100488974-100489252	chr10:100488858-100488974	chr10:100489252-100489398	chr10:100488858-100489398	chr10:100488974-100489252	-	ENSG00000075826.17	SEC31B	annotated	21	34	14	0.6626506024096386	10	12	8	0.5789473684210527
RI_85	RI@chr10@100488977-100489252	chr10:100488858-100488977	chr10:100489252-100489398	chr10:100488858-100489398	chr10:100488977-100489252	-	ENSG00000075826.17	SEC31B	annotated	13	34	8	0.746031746031746	9	12	2	0.84
RI_86	RI@chr10@100489398-100489703	chr10:100489252-100489398	chr10:100489703-100489761	chr10:100489252-100489761	chr10:100489398-100489703	-	ENSG00000075826.17	SEC31B	unannotated	23	21	20	0.5238095238095238	11	8	11	0.4634146341463415
RI_87	RI@chr10@100505495-100506040	chr10:100505361-100505495	chr10:100506040-100506201	chr10:100505361-100506201	chr10:100505495-100506040	-	ENSG00000075826.17	SEC31B	annotated	22	32	0	1.0	7	9	0	
RI_88	RI@chr10@100731068-100731890	chr10:100730889-100731068	chr10:100731890-100732024	chr10:100730889-100732024	chr10:100731068-100731890	+	ENSG00000295641.1	ENSG00000295641	annotated	0	0	0		0	0	0	
RI_89	RI@chr10@100731068-100731422	chr10:100730889-100731068	chr10:100731422-100732024	chr10:100730889-100732024	chr10:100731068-100731422	+	ENSG00000295641.1	ENSG00000295641	annotated	0	0	0		0	0	0	
RI_90	RI@chr10@100980344-100980578	chr10:100980122-100980344	chr10:100980578-100980693	chr10:100980122-100980693	chr10:100980344-100980578	+	ENSG00000095539.16	SEMA4G	unannotated	8	7	10	0.42857142857142855	3	3	8	
RI_91	RI@chr10@100983808-100984490	chr10:100983305-100983808	chr10:100984490-100985616	chr10:100983305-100985616	chr10:100983808-100984490	+	ENSG00000095539.16	SEMA4G	annotated	27	12	2	0.9069767441860465	36	14	0	1.0
RI_92	RI@chr10@100984357-100984490	chr10:100983305-100984357	chr10:100984490-100985616	chr10:100983305-100985616	chr10:100984357-100984490	+	ENSG00000095539.16	SEMA4G	annotated	10	12	5	0.6875	5	14	14	0.40425531914893614
RI_93	RI@chr10@100989676-100989775	chr10:100989644-100989676	chr10:100989775-100989884	chr10:100989644-100989884	chr10:100989676-100989775	+	ENSG00000107815.10	TWNK	annotated	9	9	0		6	4	0	
RI_94	RI@chr10@101021945-101022209	chr10:101021798-101021945	chr10:101022209-101022385	chr10:101021798-101022385	chr10:101021945-101022209	-	ENSG00000186862.20	PDZD7	annotated	4	13	46	0.1559633027522936	0	0	20	0.0
RI_95	RI@chr10@101023610-101023928	chr10:101023436-101023610	chr10:101023928-101024068	chr10:101023436-101024068	chr10:101023610-101023928	-	ENSG00000186862.20	PDZD7	annotated	5	2	41	0.07865168539325842	0	0	15	0.0
RI_96	RI@chr10@101039222-101039489	chr10:101039175-101039222	chr10:101039489-101041241	chr10:101039175-101041241	chr10:101039222-101039489	+	ENSG00000107819.15	SFXN3	unannotated	12	24	98	0.15517241379310345	5	5	41	0.10869565217391304
RI_97	RI@chr10@101238047-101238555	chr10:101237939-101238047	chr10:101238555-101238849	chr10:101237939-101238849	chr10:101238047-101238555	+	ENSG00000227128.6	LBX1-AS1	annotated	0	0	0		0	0	0	
RI_98	RI@chr10@101238047-101238520	chr10:101237939-101238047	chr10:101238520-101238849	chr10:101237939-101238849	chr10:101238047-101238520	+	ENSG00000227128.6	LBX1-AS1	annotated	0	0	0		0	0	0	
RI_99	RI@chr10@101238047-101238231	chr10:101237939-101238047	chr10:101238231-101238849	chr10:101237939-101238849	chr10:101238047-101238231	+	ENSG00000227128.6	LBX1-AS1	annotated	0	0	0		0	0	0	
RI_100	RI@chr10@101238266-101238555	chr10:101238231-101238266	chr10:101238555-101238857	chr10:101238231-101238857	chr10:101238266-101238555	+	ENSG00000227128.6	LBX1-AS1	annotated	0	0	0		0	0	0	
RI_101	RI@chr10@101285324-101285422	chr10:101285160-101285324	chr10:101285422-101286103	chr10:101285160-101286103	chr10:101285324-101285422	+	ENSG00000289441.2	ENSG00000289441	annotated	0	0	10	0.0	0	0	2	
RI_102	RI@chr10@101285604-101285741	chr10:101285422-101285604	chr10:101285741-101286103	chr10:101285422-101286103	chr10:101285604-101285741	+	ENSG00000289441.2	ENSG00000289441	annotated	6	5	0		2	4	0	
RI_103	RI@chr10@101285614-101285741	chr10:101285422-101285614	chr10:101285741-101286103	chr10:101285422-101286103	chr10:101285614-101285741	+	ENSG00000289441.2	ENSG00000289441	annotated	6	5	1		4	4	0	
RI_104	RI@chr10@101286353-101286546	chr10:101286225-101286353	chr10:101286546-101286726	chr10:101286225-101286726	chr10:101286353-101286546	+	ENSG00000289441.2	ENSG00000289441	annotated	0	1	0		0	1	0	
RI_105	RI@chr10@101584720-101584878	chr10:101584602-101584720	chr10:101584878-101584919	chr10:101584602-101584919	chr10:101584720-101584878	-	ENSG00000166169.17	POLL	annotated	39	39	0	1.0	10	5	1	
RI_106	RI@chr10@101827939-101828222	chr10:101827860-101827939	chr10:101828222-101828962	chr10:101827860-101828962	chr10:101827939-101828222	+	ENSG00000226009.4	KCNIP2-AS1	unannotated	221	207	0	1.0	90	81	0	1.0
RI_107	RI@chr10@101827939-101828190	chr10:101827860-101827939	chr10:101828190-101828962	chr10:101827860-101828962	chr10:101827939-101828190	+	ENSG00000226009.4	KCNIP2-AS1	unannotated	221	187	0	1.0	90	79	0	1.0
RI_108	RI@chr10@101827939-101828181	chr10:101827860-101827939	chr10:101828181-101828962	chr10:101827860-101828962	chr10:101827939-101828181	+	ENSG00000226009.4	KCNIP2-AS1	unannotated	221	187	0	1.0	90	80	0	1.0
RI_109	RI@chr10@101828466-101828583	chr10:101828181-101828466	chr10:101828583-101828962	chr10:101828181-101828962	chr10:101828466-101828583	+	ENSG00000226009.4	KCNIP2-AS1	unannotated	9	2	0		0	0	0	
RI_110	RI@chr10@101828696-101828819	chr10:101828627-101828696	chr10:101828819-101829353	chr10:101828627-101829353	chr10:101828696-101828819	+	ENSG00000226009.4	KCNIP2-AS1	unannotated	44	41	23	0.648854961832061	18	10	8	0.6363636363636364
RI_111	RI@chr10@102122377-102122770	chr10:102121937-102122377	chr10:102122770-102122980	chr10:102121937-102122980	chr10:102122377-102122770	+	ENSG00000308204.1	ENSG00000308204	annotated	1	1	2		1	0	0	
RI_112	RI@chr10@102122377-102122854	chr10:102121937-102122377	chr10:102122854-102122980	chr10:102121937-102122980	chr10:102122377-102122854	+	ENSG00000308204.1	ENSG00000308204	annotated	1	0	0		1	2	2	
RI_113	RI@chr10@102352518-102353600	chr10:102352458-102352518	chr10:102353600-102353654	chr10:102352458-102353654	chr10:102352518-102353600	+	ENSG00000107862.7	GBF1	annotated	2	6	71	0.05333333333333334	0	2	19	0.05
RI_114	RI@chr10@102358694-102359270	chr10:102358506-102358694	chr10:102359270-102359435	chr10:102358506-102359435	chr10:102358694-102359270	+	ENSG00000107862.7	GBF1	annotated	53	10	0	1.0	27	5	0	1.0
RI_115	RI@chr10@102358729-102359270	chr10:102358506-102358729	chr10:102359270-102359435	chr10:102358506-102359435	chr10:102358729-102359270	+	ENSG00000107862.7	GBF1	annotated	11	10	45	0.1891891891891892	3	5	14	0.2222222222222222
RI_116	RI@chr10@102358729-102359267	chr10:102358506-102358729	chr10:102359267-102359435	chr10:102358506-102359435	chr10:102358729-102359267	+	ENSG00000107862.7	GBF1	annotated	11	5	6		3	3	2	
RI_117	RI@chr10@102362628-102363256	chr10:102362475-102362628	chr10:102363256-102363396	chr10:102362475-102363396	chr10:102362628-102363256	+	ENSG00000107862.7	GBF1	annotated	63	2	0	1.0	32	0	2	0.8888888888888888
RI_118	RI@chr10@102362664-102363227	chr10:102362475-102362664	chr10:102363227-102363396	chr10:102362475-102363396	chr10:102362664-102363227	+	ENSG00000107862.7	GBF1	annotated	5	0	0		2	0	0	
RI_119	RI@chr10@102362664-102363256	chr10:102362475-102362664	chr10:102363256-102363396	chr10:102362475-102363396	chr10:102362664-102363256	+	ENSG00000107862.7	GBF1	annotated	5	2	48	0.06796116504854369	2	0	28	0.034482758620689655
RI_120	RI@chr10@102362671-102363263	chr10:102362475-102362671	chr10:102363263-102363396	chr10:102362475-102363396	chr10:102362671-102363263	+	ENSG00000107862.7	GBF1	annotated	5	51	0	1.0	3	35	0	1.0
RI_121	RI@chr10@102375479-102375528	chr10:102375359-102375479	chr10:102375528-102375584	chr10:102375359-102375584	chr10:102375479-102375528	+	ENSG00000107862.7	GBF1	annotated	98	87	0	1.0	53	38	0	1.0
RI_122	RI@chr10@102376784-102376935	chr10:102376560-102376784	chr10:102376935-102377128	chr10:102376560-102377128	chr10:102376784-102376935	+	ENSG00000107862.7	GBF1	annotated	128	7	1	0.9854014598540146	48	1	0	1.0
