event_id	pos_id	mse_n	exon	intron	strand	gene_id	gene_name	label	SRR601500_junction	SRR601500_PSI	SRR604528_junction	SRR604528_PSI
MSE_41	MSE@GL000195.1@140414-140516;142143-142240;143417-143629;144005-144094@138140-149089	4	GL000195.1:140414-140516;GL000195.1:142143-142240;GL000195.1:143417-143629;GL000195.1:144005-144094	GL000195.1:138140-140414;GL000195.1:140516-142143;GL000195.1:142240-143417;GL000195.1:143629-144005;GL000195.1:144094-149089;GL000195.1:138140-149089	+	ENSG00000308185.1	ENSG00000308185	annotated	0;1;0;0;0;0		2;3;0;0;0;0	
MSE_42	MSE@GL000195.1@140414-140516;142143-142240;143515-143629@138140-149089	3	GL000195.1:140414-140516;GL000195.1:142143-142240;GL000195.1:143515-143629	GL000195.1:138140-140414;GL000195.1:140516-142143;GL000195.1:142240-143515;GL000195.1:143629-149089;GL000195.1:138140-149089	+	ENSG00000308185.1	ENSG00000308185	annotated	0;1;0;0;0		2;3;0;0;0	
MSE_43	MSE@GL000195.1@140414-140516;142143-142240;149089-149164@138140-172694	3	GL000195.1:140414-140516;GL000195.1:142143-142240;GL000195.1:149089-149164	GL000195.1:138140-140414;GL000195.1:140516-142143;GL000195.1:142240-149089;GL000195.1:149164-172694;GL000195.1:138140-172694	+	ENSG00000308185.1	ENSG00000308185	annotated	0;1;0;0;0		2;3;0;0;0	
MSE_44	MSE@GL000195.1@140414-140516;142143-142240;149089-149164;157171-157220@138140-172694	4	GL000195.1:140414-140516;GL000195.1:142143-142240;GL000195.1:149089-149164;GL000195.1:157171-157220	GL000195.1:138140-140414;GL000195.1:140516-142143;GL000195.1:142240-149089;GL000195.1:149164-157171;GL000195.1:157220-172694;GL000195.1:138140-172694	+	ENSG00000308185.1	ENSG00000308185	annotated	0;1;0;0;0;0		2;3;0;0;0;0	
MSE_45	MSE@GL000195.1@140414-140516;142143-142240;151955-152034@138140-172694	3	GL000195.1:140414-140516;GL000195.1:142143-142240;GL000195.1:151955-152034	GL000195.1:138140-140414;GL000195.1:140516-142143;GL000195.1:142240-151955;GL000195.1:152034-172694;GL000195.1:138140-172694	+	ENSG00000308185.1	ENSG00000308185	annotated	0;1;0;0;0		2;3;0;0;0	
MSE_46	MSE@GL000195.1@140414-140516;142143-142240;163801-163895@138140-172694	3	GL000195.1:140414-140516;GL000195.1:142143-142240;GL000195.1:163801-163895	GL000195.1:138140-140414;GL000195.1:140516-142143;GL000195.1:142240-163801;GL000195.1:163895-172694;GL000195.1:138140-172694	+	ENSG00000308185.1	ENSG00000308185	annotated	0;1;0;0;0		2;3;0;0;0	
MSE_47	MSE@GL000195.1@140414-140516;142143-142240;167612-167870@138140-172694	3	GL000195.1:140414-140516;GL000195.1:142143-142240;GL000195.1:167612-167870	GL000195.1:138140-140414;GL000195.1:140516-142143;GL000195.1:142240-167612;GL000195.1:167870-172694;GL000195.1:138140-172694	+	ENSG00000308185.1	ENSG00000308185	annotated	0;1;0;0;0		2;3;0;0;0	
MSE_48	MSE@GL000195.1@140414-140516;142143-142240;167733-167870@138140-172694	3	GL000195.1:140414-140516;GL000195.1:142143-142240;GL000195.1:167733-167870	GL000195.1:138140-140414;GL000195.1:140516-142143;GL000195.1:142240-167733;GL000195.1:167870-172694;GL000195.1:138140-172694	+	ENSG00000308185.1	ENSG00000308185	annotated	0;1;0;0;0		2;3;0;0;0	
MSE_49	MSE@GL000195.1@140414-140516;142152-142240@138140-172694	2	GL000195.1:140414-140516;GL000195.1:142152-142240	GL000195.1:138140-140414;GL000195.1:140516-142152;GL000195.1:142240-172694;GL000195.1:138140-172694	+	ENSG00000308185.1	ENSG00000308185	annotated	0;0;0;0		2;0;0;0	
MSE_50	MSE@GL000195.1@140414-140516;149089-149164;164904-165063@138140-172694	3	GL000195.1:140414-140516;GL000195.1:149089-149164;GL000195.1:164904-165063	GL000195.1:138140-140414;GL000195.1:140516-149089;GL000195.1:149164-164904;GL000195.1:165063-172694;GL000195.1:138140-172694	+	ENSG00000308185.1	ENSG00000308185	annotated	0;0;0;0;0		2;0;0;0;0	
MSE_51	MSE@GL000195.1@140414-140516;157162-157220@138140-172694	2	GL000195.1:140414-140516;GL000195.1:157162-157220	GL000195.1:138140-140414;GL000195.1:140516-157162;GL000195.1:157220-172694;GL000195.1:138140-172694	+	ENSG00000308185.1	ENSG00000308185	annotated	0;0;0;0		2;0;0;0	
MSE_52	MSE@GL000195.1@140414-140516;164904-165063@138140-172694	2	GL000195.1:140414-140516;GL000195.1:164904-165063	GL000195.1:138140-140414;GL000195.1:140516-164904;GL000195.1:165063-172694;GL000195.1:138140-172694	+	ENSG00000308185.1	ENSG00000308185	annotated	0;0;0;0		2;0;0;0	
MSE_53	MSE@GL000195.1@140414-140516;167612-167870@138140-172694	2	GL000195.1:140414-140516;GL000195.1:167612-167870	GL000195.1:138140-140414;GL000195.1:140516-167612;GL000195.1:167870-172694;GL000195.1:138140-172694	+	ENSG00000308185.1	ENSG00000308185	annotated	0;0;0;0		2;0;0;0	
MSE_54	MSE@GL000195.1@140425-140516;142143-142240@138140-149089	2	GL000195.1:140425-140516;GL000195.1:142143-142240	GL000195.1:138140-140425;GL000195.1:140516-142143;GL000195.1:142240-149089;GL000195.1:138140-149089	+	ENSG00000308185.1	ENSG00000308185	annotated	1;1;0;0		3;3;0;0	
MSE_55	MSE@GL000195.1@140425-140516;142143-142240@138140-172694	2	GL000195.1:140425-140516;GL000195.1:142143-142240	GL000195.1:138140-140425;GL000195.1:140516-142143;GL000195.1:142240-172694;GL000195.1:138140-172694	+	ENSG00000308185.1	ENSG00000308185	annotated	1;1;0;0		3;3;0;0	
MSE_56	MSE@GL000195.1@140425-140516;142143-142240;143414-143629@138140-149089	3	GL000195.1:140425-140516;GL000195.1:142143-142240;GL000195.1:143414-143629	GL000195.1:138140-140425;GL000195.1:140516-142143;GL000195.1:142240-143414;GL000195.1:143629-149089;GL000195.1:138140-149089	+	ENSG00000308185.1	ENSG00000308185	annotated	1;1;0;0;0		3;3;0;0;0	
MSE_57	MSE@GL000195.1@140425-140516;142143-142240;143417-143629@138140-172694	3	GL000195.1:140425-140516;GL000195.1:142143-142240;GL000195.1:143417-143629	GL000195.1:138140-140425;GL000195.1:140516-142143;GL000195.1:142240-143417;GL000195.1:143629-172694;GL000195.1:138140-172694	+	ENSG00000308185.1	ENSG00000308185	annotated	1;1;0;0;0		3;3;0;0;0	
MSE_58	MSE@GL000195.1@140425-140516;142143-142240;143417-143629@138140-149089	3	GL000195.1:140425-140516;GL000195.1:142143-142240;GL000195.1:143417-143629	GL000195.1:138140-140425;GL000195.1:140516-142143;GL000195.1:142240-143417;GL000195.1:143629-149089;GL000195.1:138140-149089	+	ENSG00000308185.1	ENSG00000308185	annotated	1;1;0;0;0		3;3;0;0;0	
MSE_59	MSE@GL000195.1@140425-140516;142143-142240;143417-143629;144005-144094@138140-149089	4	GL000195.1:140425-140516;GL000195.1:142143-142240;GL000195.1:143417-143629;GL000195.1:144005-144094	GL000195.1:138140-140425;GL000195.1:140516-142143;GL000195.1:142240-143417;GL000195.1:143629-144005;GL000195.1:144094-149089;GL000195.1:138140-149089	+	ENSG00000308185.1	ENSG00000308185	annotated	1;1;0;0;0;0		3;3;0;0;0;0	
MSE_60	MSE@GL000195.1@140425-140516;142143-142240;143417-143629;144010-144094@138140-149089	4	GL000195.1:140425-140516;GL000195.1:142143-142240;GL000195.1:143417-143629;GL000195.1:144010-144094	GL000195.1:138140-140425;GL000195.1:140516-142143;GL000195.1:142240-143417;GL000195.1:143629-144010;GL000195.1:144094-149089;GL000195.1:138140-149089	+	ENSG00000308185.1	ENSG00000308185	annotated	1;1;0;0;0;0		3;3;0;0;0;0	
MSE_61	MSE@GL000195.1@140425-140516;142143-142240;143417-143629;164904-165063@138140-172694	4	GL000195.1:140425-140516;GL000195.1:142143-142240;GL000195.1:143417-143629;GL000195.1:164904-165063	GL000195.1:138140-140425;GL000195.1:140516-142143;GL000195.1:142240-143417;GL000195.1:143629-164904;GL000195.1:165063-172694;GL000195.1:138140-172694	+	ENSG00000308185.1	ENSG00000308185	annotated	1;1;0;0;0;0		3;3;0;0;0;0	
MSE_62	MSE@GL000195.1@140425-140516;142143-142240;143515-143629@138140-149089	3	GL000195.1:140425-140516;GL000195.1:142143-142240;GL000195.1:143515-143629	GL000195.1:138140-140425;GL000195.1:140516-142143;GL000195.1:142240-143515;GL000195.1:143629-149089;GL000195.1:138140-149089	+	ENSG00000308185.1	ENSG00000308185	annotated	1;1;0;0;0		3;3;0;0;0	
MSE_63	MSE@GL000195.1@140425-140516;142143-142240;149089-149164@138140-172694	3	GL000195.1:140425-140516;GL000195.1:142143-142240;GL000195.1:149089-149164	GL000195.1:138140-140425;GL000195.1:140516-142143;GL000195.1:142240-149089;GL000195.1:149164-172694;GL000195.1:138140-172694	+	ENSG00000308185.1	ENSG00000308185	annotated	1;1;0;0;0		3;3;0;0;0	
MSE_64	MSE@GL000195.1@140425-140516;142143-142240;149089-149164;157171-157220@138140-172694	4	GL000195.1:140425-140516;GL000195.1:142143-142240;GL000195.1:149089-149164;GL000195.1:157171-157220	GL000195.1:138140-140425;GL000195.1:140516-142143;GL000195.1:142240-149089;GL000195.1:149164-157171;GL000195.1:157220-172694;GL000195.1:138140-172694	+	ENSG00000308185.1	ENSG00000308185	annotated	1;1;0;0;0;0		3;3;0;0;0;0	
MSE_65	MSE@GL000195.1@140425-140516;142143-142240;164904-165063@138140-167612	3	GL000195.1:140425-140516;GL000195.1:142143-142240;GL000195.1:164904-165063	GL000195.1:138140-140425;GL000195.1:140516-142143;GL000195.1:142240-164904;GL000195.1:165063-167612;GL000195.1:138140-167612	+	ENSG00000308185.1	ENSG00000308185	annotated	1;1;0;0;0		3;3;0;0;0	
MSE_66	MSE@GL000195.1@140425-140516;142143-142240;164904-165063;167612-167870@138140-172694	4	GL000195.1:140425-140516;GL000195.1:142143-142240;GL000195.1:164904-165063;GL000195.1:167612-167870	GL000195.1:138140-140425;GL000195.1:140516-142143;GL000195.1:142240-164904;GL000195.1:165063-167612;GL000195.1:167870-172694;GL000195.1:138140-172694	+	ENSG00000308185.1	ENSG00000308185	annotated	1;1;0;0;0;0		3;3;0;0;0;0	
MSE_67	MSE@GL000195.1@140425-140516;142143-142240;167733-167870@138140-172694	3	GL000195.1:140425-140516;GL000195.1:142143-142240;GL000195.1:167733-167870	GL000195.1:138140-140425;GL000195.1:140516-142143;GL000195.1:142240-167733;GL000195.1:167870-172694;GL000195.1:138140-172694	+	ENSG00000308185.1	ENSG00000308185	annotated	1;1;0;0;0		3;3;0;0;0	
MSE_68	MSE@GL000195.1@140425-140516;167612-167870@138140-172694	2	GL000195.1:140425-140516;GL000195.1:167612-167870	GL000195.1:138140-140425;GL000195.1:140516-167612;GL000195.1:167870-172694;GL000195.1:138140-172694	+	ENSG00000308185.1	ENSG00000308185	annotated	1;0;0;0		3;0;0;0	
MSE_70	MSE@GL000195.1@142143-142240;143414-143629@140516-149089	2	GL000195.1:142143-142240;GL000195.1:143414-143629	GL000195.1:140516-142143;GL000195.1:142240-143414;GL000195.1:143629-149089;GL000195.1:140516-149089	+	ENSG00000308185.1	ENSG00000308185	annotated	1;0;0;0		3;0;0;0	
MSE_72	MSE@GL000195.1@142143-142240;143417-143629@140516-164904	2	GL000195.1:142143-142240;GL000195.1:143417-143629	GL000195.1:140516-142143;GL000195.1:142240-143417;GL000195.1:143629-164904;GL000195.1:140516-164904	+	ENSG00000308185.1	ENSG00000308185	annotated	1;0;0;0		3;0;0;0	
MSE_74	MSE@GL000195.1@142143-142240;143417-143629@140516-151955	2	GL000195.1:142143-142240;GL000195.1:143417-143629	GL000195.1:140516-142143;GL000195.1:142240-143417;GL000195.1:143629-151955;GL000195.1:140516-151955	+	ENSG00000308185.1	ENSG00000308185	annotated	1;0;0;0		3;0;0;0	
MSE_75	MSE@GL000195.1@142143-142240;143417-143629@140516-172694	2	GL000195.1:142143-142240;GL000195.1:143417-143629	GL000195.1:140516-142143;GL000195.1:142240-143417;GL000195.1:143629-172694;GL000195.1:140516-172694	+	ENSG00000308185.1	ENSG00000308185	annotated	1;0;0;0		3;0;0;0	
MSE_76	MSE@GL000195.1@142143-142240;143417-143629@140516-149089	2	GL000195.1:142143-142240;GL000195.1:143417-143629	GL000195.1:140516-142143;GL000195.1:142240-143417;GL000195.1:143629-149089;GL000195.1:140516-149089	+	ENSG00000308185.1	ENSG00000308185	annotated	1;0;0;0		3;0;0;0	
MSE_78	MSE@GL000195.1@142143-142240;143417-143629;144005-144094@140516-149089	3	GL000195.1:142143-142240;GL000195.1:143417-143629;GL000195.1:144005-144094	GL000195.1:140516-142143;GL000195.1:142240-143417;GL000195.1:143629-144005;GL000195.1:144094-149089;GL000195.1:140516-149089	+	ENSG00000308185.1	ENSG00000308185	annotated	1;0;0;0;0		3;0;0;0;0	
MSE_80	MSE@GL000195.1@142143-142240;143417-143629;144010-144094@140516-149089	3	GL000195.1:142143-142240;GL000195.1:143417-143629;GL000195.1:144010-144094	GL000195.1:140516-142143;GL000195.1:142240-143417;GL000195.1:143629-144010;GL000195.1:144094-149089;GL000195.1:140516-149089	+	ENSG00000308185.1	ENSG00000308185	annotated	1;0;0;0;0		3;0;0;0;0	
MSE_81	MSE@GL000195.1@142143-142240;143417-143629;149089-149164@140516-149745	3	GL000195.1:142143-142240;GL000195.1:143417-143629;GL000195.1:149089-149164	GL000195.1:140516-142143;GL000195.1:142240-143417;GL000195.1:143629-149089;GL000195.1:149164-149745;GL000195.1:140516-149745	+	ENSG00000308185.1	ENSG00000308185	annotated	1;0;0;0;0		3;0;0;0;0	
MSE_82	MSE@GL000195.1@142143-142240;143417-143629;151955-152034@140516-152495	3	GL000195.1:142143-142240;GL000195.1:143417-143629;GL000195.1:151955-152034	GL000195.1:140516-142143;GL000195.1:142240-143417;GL000195.1:143629-151955;GL000195.1:152034-152495;GL000195.1:140516-152495	+	ENSG00000308185.1	ENSG00000308185	annotated	1;0;0;0;0		3;0;0;0;0	
MSE_83	MSE@GL000195.1@142143-142240;143417-143629;164904-165063@140516-172694	3	GL000195.1:142143-142240;GL000195.1:143417-143629;GL000195.1:164904-165063	GL000195.1:140516-142143;GL000195.1:142240-143417;GL000195.1:143629-164904;GL000195.1:165063-172694;GL000195.1:140516-172694	+	ENSG00000308185.1	ENSG00000308185	annotated	1;0;0;0;0		3;0;0;0;0	
MSE_84	MSE@GL000195.1@142143-142240;143515-143629@140516-149089	2	GL000195.1:142143-142240;GL000195.1:143515-143629	GL000195.1:140516-142143;GL000195.1:142240-143515;GL000195.1:143629-149089;GL000195.1:140516-149089	+	ENSG00000308185.1	ENSG00000308185	annotated	1;0;0;0		3;0;0;0	
MSE_85	MSE@GL000195.1@142143-142240;149032-149164@140516-149745	2	GL000195.1:142143-142240;GL000195.1:149032-149164	GL000195.1:140516-142143;GL000195.1:142240-149032;GL000195.1:149164-149745;GL000195.1:140516-149745	+	ENSG00000308185.1	ENSG00000308185	annotated	1;0;0;0		3;0;0;0	
MSE_86	MSE@GL000195.1@142143-142240;149089-149164@140516-149745	2	GL000195.1:142143-142240;GL000195.1:149089-149164	GL000195.1:140516-142143;GL000195.1:142240-149089;GL000195.1:149164-149745;GL000195.1:140516-149745	+	ENSG00000308185.1	ENSG00000308185	annotated	1;0;0;0		3;0;0;0	
MSE_87	MSE@GL000195.1@142143-142240;149089-149164@140516-172694	2	GL000195.1:142143-142240;GL000195.1:149089-149164	GL000195.1:140516-142143;GL000195.1:142240-149089;GL000195.1:149164-172694;GL000195.1:140516-172694	+	ENSG00000308185.1	ENSG00000308185	annotated	1;0;0;0		3;0;0;0	
MSE_88	MSE@GL000195.1@142143-142240;149089-149164@140516-157162	2	GL000195.1:142143-142240;GL000195.1:149089-149164	GL000195.1:140516-142143;GL000195.1:142240-149089;GL000195.1:149164-157162;GL000195.1:140516-157162	+	ENSG00000308185.1	ENSG00000308185	annotated	1;0;0;0		3;0;0;0	
MSE_89	MSE@GL000195.1@142143-142240;149089-149164@140516-151955	2	GL000195.1:142143-142240;GL000195.1:149089-149164	GL000195.1:140516-142143;GL000195.1:142240-149089;GL000195.1:149164-151955;GL000195.1:140516-151955	+	ENSG00000308185.1	ENSG00000308185	annotated	1;0;0;0		3;0;0;0	
MSE_90	MSE@GL000195.1@142143-142240;149089-149164@140516-150405	2	GL000195.1:142143-142240;GL000195.1:149089-149164	GL000195.1:140516-142143;GL000195.1:142240-149089;GL000195.1:149164-150405;GL000195.1:140516-150405	+	ENSG00000308185.1	ENSG00000308185	annotated	1;0;0;0		3;0;0;0	
MSE_92	MSE@GL000195.1@142143-142240;149089-149164;149745-149822@140516-150405	3	GL000195.1:142143-142240;GL000195.1:149089-149164;GL000195.1:149745-149822	GL000195.1:140516-142143;GL000195.1:142240-149089;GL000195.1:149164-149745;GL000195.1:149822-150405;GL000195.1:140516-150405	+	ENSG00000308185.1	ENSG00000308185	annotated	1;0;0;0;0		3;0;0;0;0	
MSE_93	MSE@GL000195.1@142143-142240;149089-149164;149745-149822;150405-150460@140516-151955	4	GL000195.1:142143-142240;GL000195.1:149089-149164;GL000195.1:149745-149822;GL000195.1:150405-150460	GL000195.1:140516-142143;GL000195.1:142240-149089;GL000195.1:149164-149745;GL000195.1:149822-150405;GL000195.1:150460-151955;GL000195.1:140516-151955	+	ENSG00000308185.1	ENSG00000308185	annotated	1;0;0;0;0;0		3;0;0;0;0;0	
MSE_94	MSE@GL000195.1@142143-142240;149089-149164;150405-150460@140516-151955	3	GL000195.1:142143-142240;GL000195.1:149089-149164;GL000195.1:150405-150460	GL000195.1:140516-142143;GL000195.1:142240-149089;GL000195.1:149164-150405;GL000195.1:150460-151955;GL000195.1:140516-151955	+	ENSG00000308185.1	ENSG00000308185	annotated	1;0;0;0;0		3;0;0;0;0	
MSE_95	MSE@GL000195.1@142143-142240;149089-149164;150405-150460;151955-152034@140516-152495	4	GL000195.1:142143-142240;GL000195.1:149089-149164;GL000195.1:150405-150460;GL000195.1:151955-152034	GL000195.1:140516-142143;GL000195.1:142240-149089;GL000195.1:149164-150405;GL000195.1:150460-151955;GL000195.1:152034-152495;GL000195.1:140516-152495	+	ENSG00000308185.1	ENSG00000308185	annotated	1;0;0;0;0;0		3;0;0;0;0;0	
MSE_96	MSE@GL000195.1@142143-142240;149089-149164;157171-157220@140516-172694	3	GL000195.1:142143-142240;GL000195.1:149089-149164;GL000195.1:157171-157220	GL000195.1:140516-142143;GL000195.1:142240-149089;GL000195.1:149164-157171;GL000195.1:157220-172694;GL000195.1:140516-172694	+	ENSG00000308185.1	ENSG00000308185	annotated	1;0;0;0;0		3;0;0;0;0	
MSE_97	MSE@GL000195.1@142143-142240;149089-149175@140516-151955	2	GL000195.1:142143-142240;GL000195.1:149089-149175	GL000195.1:140516-142143;GL000195.1:142240-149089;GL000195.1:149175-151955;GL000195.1:140516-151955	+	ENSG00000308185.1	ENSG00000308185	annotated	1;0;0;0		3;0;0;0	
MSE_98	MSE@GL000195.1@142143-142240;149089-149175@140516-149745	2	GL000195.1:142143-142240;GL000195.1:149089-149175	GL000195.1:140516-142143;GL000195.1:142240-149089;GL000195.1:149175-149745;GL000195.1:140516-149745	+	ENSG00000308185.1	ENSG00000308185	annotated	1;0;0;0		3;0;0;0	
MSE_99	MSE@GL000195.1@142143-142240;151955-152034@140516-172694	2	GL000195.1:142143-142240;GL000195.1:151955-152034	GL000195.1:140516-142143;GL000195.1:142240-151955;GL000195.1:152034-172694;GL000195.1:140516-172694	+	ENSG00000308185.1	ENSG00000308185	annotated	1;0;0;0		3;0;0;0	
MSE_100	MSE@GL000195.1@142143-142240;151955-152034@140516-152495	2	GL000195.1:142143-142240;GL000195.1:151955-152034	GL000195.1:140516-142143;GL000195.1:142240-151955;GL000195.1:152034-152495;GL000195.1:140516-152495	+	ENSG00000308185.1	ENSG00000308185	annotated	1;0;0;0		3;0;0;0	
MSE_101	MSE@GL000195.1@142143-142240;163801-163895@140516-172694	2	GL000195.1:142143-142240;GL000195.1:163801-163895	GL000195.1:140516-142143;GL000195.1:142240-163801;GL000195.1:163895-172694;GL000195.1:140516-172694	+	ENSG00000308185.1	ENSG00000308185	annotated	1;0;0;0		3;0;0;0	
MSE_102	MSE@GL000195.1@142143-142240;164904-165063@140516-167612	2	GL000195.1:142143-142240;GL000195.1:164904-165063	GL000195.1:140516-142143;GL000195.1:142240-164904;GL000195.1:165063-167612;GL000195.1:140516-167612	+	ENSG00000308185.1	ENSG00000308185	annotated	1;0;0;0		3;0;0;0	
MSE_103	MSE@GL000195.1@142143-142240;164904-165063;167612-167870@140516-172694	3	GL000195.1:142143-142240;GL000195.1:164904-165063;GL000195.1:167612-167870	GL000195.1:140516-142143;GL000195.1:142240-164904;GL000195.1:165063-167612;GL000195.1:167870-172694;GL000195.1:140516-172694	+	ENSG00000308185.1	ENSG00000308185	annotated	1;0;0;0;0		3;0;0;0;0	
MSE_104	MSE@GL000195.1@142143-142240;167612-167870@140516-172694	2	GL000195.1:142143-142240;GL000195.1:167612-167870	GL000195.1:140516-142143;GL000195.1:142240-167612;GL000195.1:167870-172694;GL000195.1:140516-172694	+	ENSG00000308185.1	ENSG00000308185	annotated	1;0;0;0		3;0;0;0	
MSE_105	MSE@GL000195.1@142143-142240;167733-167870@140516-172694	2	GL000195.1:142143-142240;GL000195.1:167733-167870	GL000195.1:140516-142143;GL000195.1:142240-167733;GL000195.1:167870-172694;GL000195.1:140516-172694	+	ENSG00000308185.1	ENSG00000308185	annotated	1;0;0;0		3;0;0;0	
MSE_107	MSE@GL000195.1@143417-143629;144005-144094@142240-148038	2	GL000195.1:143417-143629;GL000195.1:144005-144094	GL000195.1:142240-143417;GL000195.1:143629-144005;GL000195.1:144094-148038;GL000195.1:142240-148038	+	ENSG00000308185.1	ENSG00000308185	annotated	0;0;0;0		0;0;0;1	
