event_id	pos_id	exon_a	exon_b	intron_a	intron_b	strand	gene_id	gene_name	label	SRR601500_junction_a	SRR601500_junction_b	SRR601500_PSI	SRR604528_junction_a	SRR604528_junction_b	SRR604528_PSI
THREE_41	THREE@GL000195.1@138140-140414@138140-140425	GL000195.1:140414-140448	GL000195.1:140425-140448	GL000195.1:138140-140414	GL000195.1:138140-140425	+	ENSG00000308185.1	ENSG00000308185	annotated	0	1		2	3	
THREE_42	THREE@GL000195.1@138140-140414@138140-140548	GL000195.1:140414-141789	GL000195.1:140548-141789	GL000195.1:138140-140414	GL000195.1:138140-140548	+	ENSG00000308185.1	ENSG00000308185	annotated	0	0		2	0	
THREE_43	THREE@GL000195.1@140516-142125@140516-142143	GL000195.1:142125-142240	GL000195.1:142143-142240	GL000195.1:140516-142125	GL000195.1:140516-142143	+	ENSG00000308185.1	ENSG00000308185	annotated	0	1		0	3	
THREE_45	THREE@GL000195.1@140516-142143@140516-142152	GL000195.1:142143-142240	GL000195.1:142152-142240	GL000195.1:140516-142143	GL000195.1:140516-142152	+	ENSG00000308185.1	ENSG00000308185	annotated	1	0		3	0	
THREE_50	THREE@GL000195.1@142240-148038@142240-149072	GL000195.1:148038-149490	GL000195.1:149072-149490	GL000195.1:142240-148038	GL000195.1:142240-149072	+	ENSG00000308185.1	ENSG00000308185	annotated	0	0		1	0	
THREE_53	THREE@GL000195.1@142240-148038@142240-148868	GL000195.1:148038-149494	GL000195.1:148868-149494	GL000195.1:142240-148038	GL000195.1:142240-148868	+	ENSG00000308185.1	ENSG00000308185	annotated	0	0		1	0	
THREE_54	THREE@GL000195.1@142240-148038@142240-149061	GL000195.1:148038-149494	GL000195.1:149061-149494	GL000195.1:142240-148038	GL000195.1:142240-149061	+	ENSG00000308185.1	ENSG00000308185	annotated	0	0		1	0	
THREE_57	THREE@GL000195.1@142240-148038@142240-149032	GL000195.1:148038-149494	GL000195.1:149032-149494	GL000195.1:142240-148038	GL000195.1:142240-149032	+	ENSG00000308185.1	ENSG00000308185	annotated	0	0		1	0	
THREE_58	THREE@GL000195.1@142240-148038@142240-149089	GL000195.1:148038-149494	GL000195.1:149089-149494	GL000195.1:142240-148038	GL000195.1:142240-149089	+	ENSG00000308185.1	ENSG00000308185	annotated	0	0		1	0	
THREE_86	THREE@GL000195.1@84679-86518@83958-86518	GL000195.1:83300-84679	GL000195.1:83300-83958	GL000195.1:84679-86518	GL000195.1:83958-86518	-	ENSG00000303853.1	ENSG00000303853	annotated	0	0		1	0	
THREE_87	THREE@GL000195.1@84679-86518@84295-86518	GL000195.1:83300-84679	GL000195.1:83300-84295	GL000195.1:84679-86518	GL000195.1:84295-86518	-	ENSG00000303853.1	ENSG00000303853	annotated	0	0		1	0	
THREE_88	THREE@GL000195.1@84679-86518@84116-86518	GL000195.1:83300-84679	GL000195.1:83300-84116	GL000195.1:84679-86518	GL000195.1:84116-86518	-	ENSG00000303853.1	ENSG00000303853	annotated	0	0		1	0	
THREE_89	THREE@GL000195.1@84250-86518@84239-86518	GL000195.1:84144-84250	GL000195.1:84144-84239	GL000195.1:84250-86518	GL000195.1:84239-86518	-	ENSG00000303853.1	ENSG00000303853	annotated	0	0		2	0	
THREE_90	THREE@GL000195.1@84273-86518@84250-86518	GL000195.1:84216-84273	GL000195.1:84216-84250	GL000195.1:84273-86518	GL000195.1:84250-86518	-	ENSG00000303853.1	ENSG00000303853	annotated	0	0		0	2	
THREE_93	THREE@GL000195.1@84277-86518@84250-86518	GL000195.1:84216-84277	GL000195.1:84216-84250	GL000195.1:84277-86518	GL000195.1:84250-86518	-	ENSG00000303853.1	ENSG00000303853	annotated	0	0		0	2	
THREE_94	THREE@GL000195.1@84295-86518@84250-86518	GL000195.1:84216-84295	GL000195.1:84216-84250	GL000195.1:84295-86518	GL000195.1:84250-86518	-	ENSG00000303853.1	ENSG00000303853	annotated	0	0		0	2	
THREE_120	THREE@GL000205.2@138302-140573@138291-140573	GL000205.2:138200-138302	GL000205.2:138200-138291	GL000205.2:138302-140573	GL000205.2:138291-140573	-	ENSG00000307088.1	ENSG00000307088	annotated	0	2		1	0	
THREE_122	THREE@GL000205.2@138325-140573@138291-140573	GL000205.2:138200-138325	GL000205.2:138200-138291	GL000205.2:138325-140573	GL000205.2:138291-140573	-	ENSG00000307088.1	ENSG00000307088	annotated	0	2		0	0	
THREE_123	THREE@GL000205.2@138325-140573@138302-140573	GL000205.2:138200-138325	GL000205.2:138200-138302	GL000205.2:138325-140573	GL000205.2:138302-140573	-	ENSG00000307088.1	ENSG00000307088	annotated	0	0		0	1	
THREE_124	THREE@GL000205.2@138329-140573@138291-140573	GL000205.2:138200-138329	GL000205.2:138200-138291	GL000205.2:138329-140573	GL000205.2:138291-140573	-	ENSG00000307088.1	ENSG00000307088	annotated	0	2		0	0	
THREE_126	THREE@GL000205.2@138329-140573@138302-140573	GL000205.2:138200-138329	GL000205.2:138200-138302	GL000205.2:138329-140573	GL000205.2:138302-140573	-	ENSG00000307088.1	ENSG00000307088	annotated	0	0		0	1	
THREE_127	THREE@GL000205.2@138347-140573@138291-140573	GL000205.2:138200-138347	GL000205.2:138200-138291	GL000205.2:138347-140573	GL000205.2:138291-140573	-	ENSG00000307088.1	ENSG00000307088	annotated	0	2		0	0	
THREE_128	THREE@GL000205.2@138347-140573@138302-140573	GL000205.2:138200-138347	GL000205.2:138200-138302	GL000205.2:138347-140573	GL000205.2:138302-140573	-	ENSG00000307088.1	ENSG00000307088	annotated	0	0		0	1	
THREE_143	THREE@GL000218.1@39059-39874@39019-39874	GL000218.1:38781-39059	GL000218.1:38781-39019	GL000218.1:39059-39874	GL000218.1:39019-39874	-	ENSG00000301761.1	ENSG00000301761	annotated	0	1		0	0	
THREE_145	THREE@GL000218.1@39088-39874@39019-39874	GL000218.1:38781-39088	GL000218.1:38781-39019	GL000218.1:39088-39874	GL000218.1:39019-39874	-	ENSG00000301761.1	ENSG00000301761	annotated	0	1		0	0	
THREE_148	THREE@GL000218.1@39377-39874@39019-39874	GL000218.1:38781-39377	GL000218.1:38781-39019	GL000218.1:39377-39874	GL000218.1:39019-39874	-	ENSG00000301761.1	ENSG00000301761	annotated	0	1		0	0	
THREE_151	THREE@GL000218.1@40028-40642@39019-40642	GL000218.1:38781-40028	GL000218.1:38781-39019	GL000218.1:40028-40642	GL000218.1:39019-40642	-	ENSG00000301761.1	ENSG00000301761	annotated	4	0		2	0	
THREE_152	THREE@GL000218.1@40028-40642@39088-40642	GL000218.1:38781-40028	GL000218.1:38781-39088	GL000218.1:40028-40642	GL000218.1:39088-40642	-	ENSG00000301761.1	ENSG00000301761	annotated	4	0		2	0	
THREE_153	THREE@GL000218.1@40028-40642@39059-40642	GL000218.1:38781-40028	GL000218.1:38781-39059	GL000218.1:40028-40642	GL000218.1:39059-40642	-	ENSG00000301761.1	ENSG00000301761	annotated	4	0		2	0	
THREE_157	THREE@GL000218.1@39162-39874@39019-39874	GL000218.1:38786-39162	GL000218.1:38786-39019	GL000218.1:39162-39874	GL000218.1:39019-39874	-	ENSG00000301761.1	ENSG00000301761	annotated	0	1		0	0	
THREE_161	THREE@GL000218.1@39201-39874@39019-39874	GL000218.1:38786-39201	GL000218.1:38786-39019	GL000218.1:39201-39874	GL000218.1:39019-39874	-	ENSG00000301761.1	ENSG00000301761	annotated	0	1		0	0	
THREE_165	THREE@GL000218.1@39203-39874@39019-39874	GL000218.1:38786-39203	GL000218.1:38786-39019	GL000218.1:39203-39874	GL000218.1:39019-39874	-	ENSG00000301761.1	ENSG00000301761	annotated	0	1		0	0	
THREE_169	THREE@GL000218.1@39111-39874@39019-39874	GL000218.1:38790-39111	GL000218.1:38790-39019	GL000218.1:39111-39874	GL000218.1:39019-39874	-	ENSG00000301761.1	ENSG00000301761	annotated	0	1		0	0	
THREE_173	THREE@GL000218.1@39770-39874@39019-39874	GL000218.1:38790-39770	GL000218.1:38790-39019	GL000218.1:39770-39874	GL000218.1:39019-39874	-	ENSG00000301761.1	ENSG00000301761	annotated	0	1		0	0	
THREE_177	THREE@GL000218.1@40055-40642@40028-40642	GL000218.1:39874-40055	GL000218.1:39874-40028	GL000218.1:40055-40642	GL000218.1:40028-40642	-	ENSG00000301761.1	ENSG00000301761	annotated	0	4		0	2	
THREE_178	THREE@GL000218.1@40872-95174@40864-95174	GL000218.1:40642-40872	GL000218.1:40642-40864	GL000218.1:40872-95174	GL000218.1:40864-95174	-	ENSG00000301761.1	ENSG00000301761	annotated	5	0		4	0	
THREE_179	THREE@GL000218.1@48142-95174@48131-95174	GL000218.1:46852-48142	GL000218.1:46852-48131	GL000218.1:48142-95174	GL000218.1:48131-95174	-	ENSG00000301761.1	ENSG00000301761	annotated	3	0		5	0	
THREE_180	THREE@GL000218.1@48142-92041@47967-92041	GL000218.1:47914-48142	GL000218.1:47914-47967	GL000218.1:48142-92041	GL000218.1:47967-92041	-	ENSG00000301761.1	ENSG00000301761	annotated	0	0		1	0	
THREE_181	THREE@GL000218.1@48142-95174@47967-95174	GL000218.1:47914-48142	GL000218.1:47914-47967	GL000218.1:48142-95174	GL000218.1:47967-95174	-	ENSG00000301761.1	ENSG00000301761	annotated	3	0		5	0	
THREE_182	THREE@GL000218.1@89058-95174@88725-95174	GL000218.1:88537-89058	GL000218.1:88537-88725	GL000218.1:89058-95174	GL000218.1:88725-95174	-	ENSG00000301761.1	ENSG00000301761	annotated	2	0		1	0	
THREE_185	THREE@GL000218.1@95232-97368@95220-97368	GL000218.1:95174-95232	GL000218.1:95174-95220	GL000218.1:95232-97368	GL000218.1:95220-97368	-	ENSG00000301761.1	ENSG00000301761	annotated	10	0	1.0	11	0	1.0
THREE_190	THREE@GL000218.1@96930-97368@96745-97368	GL000218.1:96645-96930	GL000218.1:96645-96745	GL000218.1:96930-97368	GL000218.1:96745-97368	-	ENSG00000301761.1	ENSG00000301761	annotated	1	0		0	0	
THREE_191	THREE@GL000218.1@96930-97368@96664-97368	GL000218.1:96645-96930	GL000218.1:96645-96664	GL000218.1:96930-97368	GL000218.1:96664-97368	-	ENSG00000301761.1	ENSG00000301761	annotated	1	0		0	0	
THREE_192	THREE@GL000218.1@96930-97368@96885-97368	GL000218.1:96645-96930	GL000218.1:96645-96885	GL000218.1:96930-97368	GL000218.1:96885-97368	-	ENSG00000301761.1	ENSG00000301761	annotated	1	0		0	0	
THREE_194	THREE@GL000219.1@88420-97294@88381-97294	GL000219.1:88018-88420	GL000219.1:88018-88381	GL000219.1:88420-97294	GL000219.1:88381-97294	-	ENSG00000296618.1	ENSG00000296618	annotated	69	0	1.0	39	0	1.0
THREE_195	THREE@GL000219.1@97363-99126@97359-99126	GL000219.1:97294-97363	GL000219.1:97294-97359	GL000219.1:97363-99126	GL000219.1:97359-99126	-	ENSG00000296618.1	ENSG00000296618	annotated	32	0	1.0	16	0	1.0
THREE_196	THREE@GL000219.1@97363-99416@97359-99416	GL000219.1:97294-97363	GL000219.1:97294-97359	GL000219.1:97363-99416	GL000219.1:97359-99416	-	ENSG00000296618.1	ENSG00000296618	annotated	48	0	1.0	24	0	1.0
THREE_197	THREE@GL000219.1@98675-99416@98659-99416	GL000219.1:98560-98675	GL000219.1:98560-98659	GL000219.1:98675-99416	GL000219.1:98659-99416	-	ENSG00000296618.1	ENSG00000296618	annotated	0	1		0	4	
THREE_202	THREE@GL000221.1@4543-77753@4378-77753	GL000221.1:4089-4543	GL000221.1:4089-4378	GL000221.1:4543-77753	GL000221.1:4378-77753	-	ENSG00000304745.1	ENSG00000304745	annotated	1	0		0	0	
THREE_209	THREE@GL000221.1@79446-79951@79420-79951	GL000221.1:79228-79446	GL000221.1:79228-79420	GL000221.1:79446-79951	GL000221.1:79420-79951	-	ENSG00000304745.1	ENSG00000304745	annotated	0	1		0	0	
THREE_215	THREE@GL000221.1@79468-79951@79420-79951	GL000221.1:79228-79468	GL000221.1:79228-79420	GL000221.1:79468-79951	GL000221.1:79420-79951	-	ENSG00000304745.1	ENSG00000304745	annotated	0	1		0	0	
THREE_216	THREE@GL000221.1@79513-79951@79420-79951	GL000221.1:79228-79513	GL000221.1:79228-79420	GL000221.1:79513-79951	GL000221.1:79420-79951	-	ENSG00000304745.1	ENSG00000304745	annotated	0	1		0	0	
THREE_217	THREE@GL000221.1@79513-79828@79420-79828	GL000221.1:79228-79513	GL000221.1:79228-79420	GL000221.1:79513-79828	GL000221.1:79420-79828	-	ENSG00000304745.1	ENSG00000304745	annotated	0	0		1	0	
THREE_219	THREE@GL000221.1@79513-79828@79247-79828	GL000221.1:79228-79513	GL000221.1:79228-79247	GL000221.1:79513-79828	GL000221.1:79247-79828	-	ENSG00000304745.1	ENSG00000304745	annotated	0	0		1	0	
THREE_220	THREE@GL000221.1@79513-79828@79468-79828	GL000221.1:79228-79513	GL000221.1:79228-79468	GL000221.1:79513-79828	GL000221.1:79468-79828	-	ENSG00000304745.1	ENSG00000304745	annotated	0	0		1	0	
THREE_222	THREE@GL000221.1@79513-79828@79427-79828	GL000221.1:79228-79513	GL000221.1:79228-79427	GL000221.1:79513-79828	GL000221.1:79427-79828	-	ENSG00000304745.1	ENSG00000304745	annotated	0	0		1	0	
THREE_223	THREE@GL000221.1@79513-79828@79446-79828	GL000221.1:79228-79513	GL000221.1:79228-79446	GL000221.1:79513-79828	GL000221.1:79446-79828	-	ENSG00000304745.1	ENSG00000304745	annotated	0	0		1	0	
THREE_224	THREE@GL000224.1@102591-105979@102591-106078	GL000224.1:105979-106136	GL000224.1:106078-106136	GL000224.1:102591-105979	GL000224.1:102591-106078	+	ENSG00000295063.1	ENSG00000295063	annotated	3	1		9	4	
THREE_229	THREE@KI270712.1@105922-109335@105922-109395	KI270712.1:109335-109674	KI270712.1:109395-109674	KI270712.1:105922-109335	KI270712.1:105922-109395	+	ENSG00000298469.1	ENSG00000298469	annotated	5	0		7	2	
THREE_240	THREE@KI270721.1@50976-51058@50970-51058	KI270721.1:50358-50976	KI270721.1:50358-50970	KI270721.1:50976-51058	KI270721.1:50970-51058	-	ENSG00000294171.1	ENSG00000294171	annotated	3	2		16	3	0.8421052631578947
THREE_241	THREE@KI270721.1@51180-51261@51123-51261	KI270721.1:51058-51180	KI270721.1:51058-51123	KI270721.1:51180-51261	KI270721.1:51123-51261	-	ENSG00000294171.1	ENSG00000294171	annotated	4	0		15	0	1.0
THREE_243	THREE@KI270721.1@51603-51700@51599-51700	KI270721.1:51469-51603	KI270721.1:51469-51599	KI270721.1:51603-51700	KI270721.1:51599-51700	-	ENSG00000294171.1	ENSG00000294171	annotated	1	0		14	0	1.0
THREE_268	THREE@KI270734.1@18044-20134@17657-20134	KI270734.1:17484-18044	KI270734.1:17484-17657	KI270734.1:18044-20134	KI270734.1:17657-20134	-	ENSG00000297072.1	ENSG00000297072	annotated	0	1		0	0	
THREE_270	THREE@KI270741.1@44469-47850@44469-47949	KI270741.1:47850-48007	KI270741.1:47949-48007	KI270741.1:44469-47850	KI270741.1:44469-47949	+	ENSG00000299200.1	ENSG00000299200	annotated	3	1		9	4	
THREE_271	THREE@KI270742.1@107775-109792@107763-109792	KI270742.1:107717-107775	KI270742.1:107717-107763	KI270742.1:107775-109792	KI270742.1:107763-109792	-	ENSG00000306402.1	ENSG00000306402	annotated	2	0		1	0	
THREE_276	THREE@KI270742.1@109384-109915@109211-109915	KI270742.1:109192-109384	KI270742.1:109192-109211	KI270742.1:109384-109915	KI270742.1:109211-109915	-	ENSG00000306402.1	ENSG00000306402	annotated	1	0		0	0	
THREE_277	THREE@KI270742.1@109384-109915@109379-109915	KI270742.1:109192-109384	KI270742.1:109192-109379	KI270742.1:109384-109915	KI270742.1:109379-109915	-	ENSG00000306402.1	ENSG00000306402	annotated	1	0		0	0	
THREE_280	THREE@KI270742.1@109391-109915@109384-109915	KI270742.1:109192-109391	KI270742.1:109192-109384	KI270742.1:109391-109915	KI270742.1:109384-109915	-	ENSG00000306402.1	ENSG00000306402	annotated	0	1		0	0	
THREE_291	THREE@KI270742.1@109410-109915@109384-109915	KI270742.1:109192-109410	KI270742.1:109192-109384	KI270742.1:109410-109915	KI270742.1:109384-109915	-	ENSG00000306402.1	ENSG00000306402	annotated	0	1		0	0	
THREE_298	THREE@KI270742.1@109432-109915@109384-109915	KI270742.1:109192-109432	KI270742.1:109192-109384	KI270742.1:109432-109915	KI270742.1:109384-109915	-	ENSG00000306402.1	ENSG00000306402	annotated	0	1		0	0	
THREE_306	THREE@KI270742.1@109477-109915@109384-109915	KI270742.1:109192-109477	KI270742.1:109192-109384	KI270742.1:109477-109915	KI270742.1:109384-109915	-	ENSG00000306402.1	ENSG00000306402	annotated	0	1		0	0	
THREE_350	THREE@chr10@100243777-100245799@100243772-100245799	chr10:100243698-100243777	chr10:100243698-100243772	chr10:100243777-100245799	chr10:100243772-100245799	-	ENSG00000095485.18	CWF19L1	annotated	51	0	1.0	23	0	1.0
THREE_351	THREE@chr10@100261044-100261979@100261028-100261979	chr10:100260966-100261044	chr10:100260966-100261028	chr10:100261044-100261979	chr10:100261028-100261979	-	ENSG00000095485.18	CWF19L1	annotated	23	4	0.8518518518518519	0	0	
THREE_353	THREE@chr10@100286332-100286605@100286213-100286605	chr10:100286097-100286332	chr10:100286097-100286213	chr10:100286332-100286605	chr10:100286213-100286605	-	ENSG00000196072.12	BLOC1S2	annotated	9	129	0.06521739130434782	2	56	0.034482758620689655
THREE_354	THREE@chr10@100329346-100329869@100329324-100329869	chr10:100329211-100329346	chr10:100329211-100329324	chr10:100329346-100329869	chr10:100329324-100329869	-	ENSG00000107593.17	PKD2L1	annotated	0	4		0	0	
THREE_355	THREE@chr10@100374012-100380895@100374012-100380983	chr10:100380895-100381109	chr10:100380983-100381109	chr10:100374012-100380895	chr10:100374012-100380983	+	ENSG00000235823.6	OLMALINC	annotated	3	3		0	4	
THREE_362	THREE@chr10@100381448-100388034@100381448-100388041	chr10:100388034-100388362	chr10:100388041-100388362	chr10:100381448-100388034	chr10:100381448-100388041	+	ENSG00000235823.6	OLMALINC	annotated	7	0		12	0	1.0
THREE_363	THREE@chr10@100381448-100388034@100381448-100388037	chr10:100388034-100388362	chr10:100388037-100388362	chr10:100381448-100388034	chr10:100381448-100388037	+	ENSG00000235823.6	OLMALINC	annotated	7	41	0.14583333333333334	12	39	0.23529411764705882
THREE_364	THREE@chr10@100381448-100388037@100381448-100388041	chr10:100388037-100388362	chr10:100388041-100388362	chr10:100381448-100388037	chr10:100381448-100388041	+	ENSG00000235823.6	OLMALINC	annotated	41	0	1.0	39	0	1.0
THREE_365	THREE@chr10@100395229-100406649@100395229-100412681	chr10:100406649-100413604	chr10:100412681-100413604	chr10:100395229-100406649	chr10:100395229-100412681	+	ENSG00000235823.6	OLMALINC	annotated	6	0		8	0	
THREE_366	THREE@chr10@100488977-100489252@100488974-100489252	chr10:100488858-100488977	chr10:100488858-100488974	chr10:100488977-100489252	chr10:100488974-100489252	-	ENSG00000075826.17	SEC31B	annotated	8	14	0.36363636363636365	2	8	
THREE_367	THREE@chr10@100489398-100489703@100488974-100489703	chr10:100488858-100489398	chr10:100488858-100488974	chr10:100489398-100489703	chr10:100488974-100489703	-	ENSG00000075826.17	SEC31B	annotated	20	0	1.0	11	0	1.0
THREE_368	THREE@chr10@100508051-100509007@100508048-100509007	chr10:100507908-100508051	chr10:100507908-100508048	chr10:100508051-100509007	chr10:100508048-100509007	-	ENSG00000075826.17	SEC31B	annotated	0	4		3	11	0.21428571428571427
THREE_369	THREE@chr10@100516997-100519782@100516960-100519782	chr10:100516874-100516997	chr10:100516874-100516960	chr10:100516997-100519782	chr10:100516960-100519782	-	ENSG00000075826.17	SEC31B	annotated	0	1		0	2	
THREE_371	THREE@chr10@100517043-100519782@100516960-100519782	chr10:100516874-100517043	chr10:100516874-100516960	chr10:100517043-100519782	chr10:100516960-100519782	-	ENSG00000075826.17	SEC31B	annotated	0	1		0	2	
THREE_374	THREE@chr10@100827095-100827543@100827095-100827562	chr10:100827543-100829941	chr10:100827562-100829941	chr10:100827095-100827543	chr10:100827095-100827562	+	ENSG00000075891.24	PAX2	annotated	1	0		0	0	
THREE_375	THREE@chr10@100918441-100923975@100918441-100923978	chr10:100923975-100924972	chr10:100923978-100924972	chr10:100918441-100923975	chr10:100918441-100923978	+	ENSG00000119906.13	SLF2	unannotated	5	6		3	5	
THREE_376	THREE@chr10@100969591-100972529@100969591-100972894	chr10:100972529-100973036	chr10:100972894-100973036	chr10:100969591-100972529	chr10:100969591-100972894	+	ENSG00000095539.16	SEMA4G	annotated	4	0		3	0	
THREE_377	THREE@chr10@100981229-100983305@100981229-100984490	chr10:100983305-100985616	chr10:100984490-100985616	chr10:100981229-100983305	chr10:100981229-100984490	+	ENSG00000095539.16	SEMA4G	annotated	10	0	1.0	15	0	1.0
THREE_378	THREE@chr10@100989453-100989644@100989453-100989706	chr10:100989644-100989884	chr10:100989706-100989884	chr10:100989453-100989644	chr10:100989453-100989706	+	ENSG00000107815.10	TWNK	annotated	6	0		6	0	
THREE_379	THREE@chr10@101010883-101011690@101010879-101011690	chr10:101010272-101010883	chr10:101010272-101010879	chr10:101010883-101011690	chr10:101010879-101011690	-	ENSG00000186862.20	PDZD7	annotated	4	1		1	0	
THREE_380	THREE@chr10@101035620-101035944@101035620-101036003	chr10:101035944-101036101	chr10:101036003-101036101	chr10:101035620-101035944	chr10:101035620-101036003	+	ENSG00000107819.15	SFXN3	unannotated	8	12	0.4	1	1	
THREE_381	THREE@chr10@101036561-101036667@101036561-101036723	chr10:101036667-101036808	chr10:101036723-101036808	chr10:101036561-101036667	chr10:101036561-101036723	+	ENSG00000107819.15	SFXN3	annotated	5	124	0.03875968992248062	2	37	0.05128205128205128
THREE_382	THREE@chr10@101062115-101062542@101062115-101062986	chr10:101062542-101063103	chr10:101062986-101063103	chr10:101062115-101062542	chr10:101062115-101062986	+	ENSG00000107821.15	KAZALD1	annotated	3	0		3	0	
THREE_383	THREE@chr10@101063103-101064206@101063103-101064261	chr10:101064206-101064421	chr10:101064261-101064421	chr10:101063103-101064206	chr10:101063103-101064261	+	ENSG00000107821.15	KAZALD1	annotated	0	1		0	1	
THREE_391	THREE@chr10@101430452-101461964@101430452-101461981	chr10:101461964-101462058	chr10:101461981-101462058	chr10:101430452-101461964	chr10:101430452-101461981	+	ENSG00000166167.18	BTRC	annotated	0	24	0.0	0	10	0.0
THREE_392	THREE@chr10@101587406-101588204@101587382-101588204	chr10:101587246-101587406	chr10:101587246-101587382	chr10:101587406-101588204	chr10:101587382-101588204	-	ENSG00000166169.17	POLL	annotated	6	0		2	0	
THREE_393	THREE@chr10@101601336-101608835@101601336-101608867	chr10:101608835-101608937	chr10:101608867-101608937	chr10:101601336-101608835	chr10:101601336-101608867	+	ENSG00000166171.13	DPCD	annotated	80	0	1.0	83	0	1.0
THREE_407	THREE@chr10@101774912-101775130@101774879-101775130	chr10:101774732-101774912	chr10:101774732-101774879	chr10:101774912-101775130	chr10:101774879-101775130	-	ENSG00000107831.14	FGF8	annotated	0	0		0	1	
THREE_408	THREE@chr10@101792943-101793913@101792901-101793913	chr10:101792839-101792943	chr10:101792839-101792901	chr10:101792943-101793913	chr10:101792901-101793913	-	ENSG00000198408.14	OGA	annotated	161	8	0.9526627218934911	79	2	0.9753086419753086
THREE_412	THREE@chr10@101828717-101829075@101828696-101829075	chr10:101828627-101828717	chr10:101828627-101828696	chr10:101828717-101829075	chr10:101828696-101829075	-	ENSG00000120049.20	KCNIP2	annotated	1	147	0.006756756756756757	0	73	0.0
THREE_413	THREE@chr10@101828849-101829075@101828846-101829075	chr10:101828819-101828849	chr10:101828819-101828846	chr10:101828849-101829075	chr10:101828846-101829075	-	ENSG00000120049.20	KCNIP2	annotated	1	21	0.045454545454545456	0	3	
THREE_414	THREE@chr10@101829942-101831072@101829897-101831072	chr10:101829844-101829942	chr10:101829844-101829897	chr10:101829942-101831072	chr10:101829897-101831072	-	ENSG00000120049.20	KCNIP2	annotated	2	34	0.05555555555555555	0	12	0.0
THREE_415	THREE@chr10@102122377-102122770@102122377-102122854	chr10:102122770-102122980	chr10:102122854-102122980	chr10:102122377-102122770	chr10:102122377-102122854	+	ENSG00000308204.1	ENSG00000308204	annotated	2	0		0	2	
THREE_416	THREE@chr10@102157074-102157186@102157074-102157189	chr10:102157186-102157328	chr10:102157189-102157328	chr10:102157074-102157186	chr10:102157074-102157189	+	ENSG00000166197.17	NOLC1	annotated	53	61	0.4649122807017544	24	34	0.41379310344827586
THREE_417	THREE@chr10@102161925-102162111@102161925-102163771	chr10:102162111-102163871	chr10:102163771-102163871	chr10:102161925-102162111	chr10:102161925-102163771	+	ENSG00000166197.17	NOLC1	annotated	162	0	1.0	87	0	1.0
