event_id	pos_id	exon_a	exon_b	intron_a1	intron_a2	intron_b1	intron_b2	strand	gene_id	gene_name	label	SRR601500_junction_a1	SRR601500_junction_a2	SRR601500_junction_b1	SRR601500_junction_b2	SRR601500_PSI	SRR604528_junction_a1	SRR604528_junction_a2	SRR604528_junction_b1	SRR604528_junction_b2	SRR604528_PSI
MXE_23	MXE@chr10@35296573@35299074-35299259@35316320-35316409@35336220	chr10:35299074-35299259	chr10:35316320-35316409	chr10:35296573-35299074	chr10:35299259-35336220	chr10:35296573-35316320	chr10:35316409-35336220	-	ENSG00000271335.7	CCNY-AS1	annotated	0	0	0	0		2	0	0	0	
MXE_25	MXE@chr10@43371697@43372727-43372772@43373462-43373783@43374470	chr10:43372727-43372772	chr10:43373462-43373783	chr10:43371697-43372727	chr10:43372772-43374470	chr10:43371697-43373462	chr10:43373783-43374470	+	ENSG00000150201.15	FXYD4	annotated	0	1	0	0		0	0	0	0	
MXE_27	MXE@chr10@46795953@46796431-46796618@46796672-46796793@46798029	chr10:46796431-46796618	chr10:46796672-46796793	chr10:46795953-46796431	chr10:46796618-46798029	chr10:46795953-46796672	chr10:46796793-46798029	+	ENSG00000291069.2	BMS1P1	annotated	0	0	3	3		0	0	1	1	
MXE_28	MXE@chr10@48420320@48424088-48424159@48424514-48424585@48425888	chr10:48424088-48424159	chr10:48424514-48424585	chr10:48420320-48424088	chr10:48424159-48425888	chr10:48420320-48424514	chr10:48424585-48425888	+	ENSG00000107643.17	MAPK8	annotated	59	75	9	14	0.8535031847133758	19	12	11	11	0.5849056603773585
MXE_30	MXE@chr10@49973142@49976084-49976185@49981189-49981281@49987165	chr10:49976084-49976185	chr10:49981189-49981281	chr10:49973142-49976084	chr10:49976185-49987165	chr10:49973142-49981189	chr10:49981281-49987165	+	ENSG00000178440.9	TIMM23B-AGAP6	annotated	0	1	1	0		0	0	0	1	
MXE_33	MXE@chr10@58999787@59001229-59001314@59013682-59013771@59065277	chr10:59001229-59001314	chr10:59013682-59013771	chr10:58999787-59001229	chr10:59001314-59065277	chr10:58999787-59013682	chr10:59013771-59065277	+	ENSG00000237949.4	LINC00844	annotated	120	0	1	1	0.9836065573770492	201	0	1	1	0.9901477832512315
MXE_36	MXE@chr10@64060205@64091209-64091330@64157796-64157944@64286466	chr10:64091209-64091330	chr10:64157796-64157944	chr10:64060205-64091209	chr10:64091330-64286466	chr10:64060205-64157796	chr10:64157944-64286466	+	ENSG00000228566.3	ENSG00000228566	annotated	0	3	0	1		0	0	0	0	
MXE_37	MXE@chr10@72860527@72861679-72861776@72868703-72868863@72871377	chr10:72861679-72861776	chr10:72868703-72868863	chr10:72860527-72861679	chr10:72861776-72871377	chr10:72860527-72868703	chr10:72868863-72871377	+	ENSG00000156026.15	MCU	annotated	0	0	17	22	0.0	0	0	4	8	
MXE_38	MXE@chr10@73030370@73043887-73043957@73044981-73045051@73046925	chr10:73043887-73043957	chr10:73044981-73045051	chr10:73030370-73043887	chr10:73043957-73046925	chr10:73030370-73044981	chr10:73045051-73046925	-	ENSG00000122884.13	P4HA1	annotated	7	10	23	14	0.3148148148148148	12	14	10	16	0.5
MXE_39	MXE@chr10@78249070@78250277-78250451@78380393-78380754@78396411	chr10:78250277-78250451	chr10:78380393-78380754	chr10:78249070-78250277	chr10:78250451-78396411	chr10:78249070-78380393	chr10:78380754-78396411	+	ENSG00000230417.13	LINC00595	annotated	2	0	0	0		1	0	0	0	
MXE_40	MXE@chr10@78179246@78250277-78250451@78373920-78374042@78396411	chr10:78250277-78250451	chr10:78373920-78374042	chr10:78179246-78250277	chr10:78250451-78396411	chr10:78179246-78373920	chr10:78374042-78396411	+	ENSG00000230417.13	LINC00595	annotated	0	0	0	0		0	0	3	2	
MXE_50	MXE@chr10@91783160@91790115-91790373@91792967-91793110@91793426	chr10:91790115-91790373	chr10:91792967-91793110	chr10:91783160-91790115	chr10:91790373-91793426	chr10:91783160-91792967	chr10:91793110-91793426	-	ENSG00000228701.4	TNKS2-DT	annotated	1	0	0	0		0	0	0	0	
MXE_51	MXE@chr10@95876660@95904830-95904935@95941222-95941292@95950458	chr10:95904830-95904935	chr10:95941222-95941292	chr10:95876660-95904830	chr10:95904935-95950458	chr10:95876660-95941222	chr10:95941292-95950458	-	ENSG00000226688.10	ENTPD1-AS1	annotated	1	0	0	0		3	0	0	0	
MXE_52	MXE@chr10@95899018@95904830-95904938@95981466-95981593@96089266	chr10:95904830-95904938	chr10:95981466-95981593	chr10:95899018-95904830	chr10:95904938-96089266	chr10:95899018-95981466	chr10:95981593-96089266	-	ENSG00000226688.10	ENTPD1-AS1	annotated	1	0	0	0		1	0	0	0	
MXE_54	MXE@chr10@96156047@96156197-96160402@96203574-96203628@96203920	chr10:96156197-96160402	chr10:96203574-96203628	chr10:96156047-96156197	chr10:96160402-96203920	chr10:96156047-96203574	chr10:96203628-96203920	+	ENSG00000177853.15	ZNF518A	unannotated	0	0	0	1		0	3	0	0	
MXE_56	MXE@chr11@108353880@108354811-108354874@108354918-108355098@108365082	chr11:108354811-108354874	chr11:108354918-108355098	chr11:108353880-108354811	chr11:108354874-108365082	chr11:108353880-108354918	chr11:108355098-108365082	+	ENSG00000149311.22	ATM	annotated	25	23	2	0	0.96	9	11	0	0	1.0
MXE_57	MXE@chr11@111759951@111760819-111761051@111761119-111761291@111764805	chr11:111760819-111761051	chr11:111761119-111761291	chr11:111759951-111760819	chr11:111761051-111764805	chr11:111759951-111761119	chr11:111761291-111764805	-	ENSG00000137713.16	PPP2R1B	annotated	22	19	0	0	1.0	14	16	0	0	1.0
MXE_58	MXE@chr11@117839830@117840319-117840368@117841148-117841184@117841791	chr11:117840319-117840368	chr11:117841148-117841184	chr11:117839830-117840319	chr11:117840368-117841791	chr11:117839830-117841148	chr11:117841184-117841791	-	ENSG00000255245.4	FXYD6-FXYD2	annotated	1459	0	0	1466	0.49880341880341883	596	0	0	583	0.5055131467345207
MXE_59	MXE@chr11@119025757@119025967-119026080@119026502-119026688@119026937	chr11:119025967-119026080	chr11:119026502-119026688	chr11:119025757-119025967	chr11:119026080-119026937	chr11:119025757-119026502	chr11:119026688-119026937	-	ENSG00000137700.19	SLC37A4	annotated	31	1	0	15	0.6808510638297872	15	3	0	11	
MXE_60	MXE@chr11@119090265@119091163-119091256@119091413-119091526@119092125	chr11:119091163-119091256	chr11:119091413-119091526	chr11:119090265-119091163	chr11:119091256-119092125	chr11:119090265-119091413	chr11:119091526-119092125	+	ENSG00000256269.11	HMBS	annotated	0	0	35	22	0.0	0	0	16	17	0.0
MXE_62	MXE@chr11@119090265@119091413-119091526@119091861-119091874@119092404	chr11:119091413-119091526	chr11:119091861-119091874	chr11:119090265-119091413	chr11:119091526-119092404	chr11:119090265-119091861	chr11:119091874-119092404	+	ENSG00000256269.11	HMBS	annotated	35	0	0	0	1.0	16	0	0	0	
MXE_63	MXE@chr11@119090265@119091413-119091526@119091861-119091874@119092125	chr11:119091413-119091526	chr11:119091861-119091874	chr11:119090265-119091413	chr11:119091526-119092125	chr11:119090265-119091861	chr11:119091874-119092125	+	ENSG00000256269.11	HMBS	annotated	35	22	0	0	1.0	16	17	0	0	1.0
MXE_64	MXE@chr11@128462576@128463509-128463627@128480401-128480451@128484823	chr11:128463509-128463627	chr11:128480401-128480451	chr11:128462576-128463509	chr11:128463627-128484823	chr11:128462576-128480401	chr11:128480451-128484823	-	ENSG00000134954.14	ETS1	annotated	10	0	0	15		26	1	0	23	0.54
MXE_65	MXE@chr11@12962763@12965108-12965214@12980410-12980909@12989456	chr11:12965108-12965214	chr11:12980410-12980909	chr11:12962763-12965108	chr11:12965214-12989456	chr11:12962763-12980410	chr11:12980909-12989456	-	ENSG00000251381.8	LINC00958	annotated	0	0	0	1		3	0	0	0	
MXE_66	MXE@chr11@13713033@13714145-13714202@13714509-13714680@13721730	chr11:13714145-13714202	chr11:13714509-13714680	chr11:13713033-13714145	chr11:13714202-13721730	chr11:13713033-13714509	chr11:13714680-13721730	+	ENSG00000197601.15	FAR1	annotated	0	0	19	21	0.0	0	0	17	7	0.0
MXE_68	MXE@chr11@13713033@13714509-13714680@13714976-13715145@13721730	chr11:13714509-13714680	chr11:13714976-13715145	chr11:13713033-13714509	chr11:13714680-13721730	chr11:13713033-13714976	chr11:13715145-13721730	+	ENSG00000197601.15	FAR1	annotated	19	21	0	0	1.0	17	7	0	0	1.0
MXE_73	MXE@chr11@3403652@3404854-3404918@3406499-3406697@3407622	chr11:3404854-3404918	chr11:3406499-3406697	chr11:3403652-3404854	chr11:3404918-3407622	chr11:3403652-3406499	chr11:3406697-3407622	+	ENSG00000290960.2	ENSG00000290960	annotated	0	0	0	0		1	0	0	3	
MXE_75	MXE@chr11@46617890@46618260-46618375@46625301-46625417@46629907	chr11:46618260-46618375	chr11:46625301-46625417	chr11:46617890-46618260	chr11:46618375-46629907	chr11:46617890-46625301	chr11:46625417-46629907	+	ENSG00000175224.17	ATG13	annotated	8	0	3	0		5	0	0	0	
MXE_76	MXE@chr11@59793514@59795415-59795482@59795602-59795712@59800855	chr11:59795415-59795482	chr11:59795602-59795712	chr11:59793514-59795415	chr11:59795482-59800855	chr11:59793514-59795602	chr11:59795712-59800855	+	ENSG00000166900.17	STX3	unannotated	10	18	8	11	0.5957446808510638	2	5	0	2	
MXE_77	MXE@chr11@62761904@62762542-62762866@62762867-62763026@62765182	chr11:62762542-62762866	chr11:62762867-62763026	chr11:62761904-62762542	chr11:62762866-62765182	chr11:62761904-62762867	chr11:62763026-62765182	+	ENSG00000168002.12	POLR2G	annotated	7	14	123	152	0.07094594594594594	1	3	107	126	0.016877637130801686
MXE_78	MXE@chr11@62853590@62853801-62854058@62854888-62854938@62855133	chr11:62853801-62854058	chr11:62854888-62854938	chr11:62853590-62853801	chr11:62854058-62855133	chr11:62853590-62854888	chr11:62854938-62855133	-	ENSG00000255717.10	SNHG1	annotated	50	0	0	40	0.5555555555555556	33	0	0	28	0.5409836065573771
MXE_79	MXE@chr11@65279626@65280992-65281147@65281148-65281397@65281670	chr11:65280992-65281147	chr11:65281148-65281397	chr11:65279626-65280992	chr11:65281147-65281670	chr11:65279626-65281148	chr11:65281397-65281670	+	ENSG00000014138.10	POLA2	annotated	17	15	0	0	1.0	3	0	0	0	
MXE_80	MXE@chr11@75401733@75402352-75402379@75404020-75404207@75404672	chr11:75402352-75402379	chr11:75404020-75404207	chr11:75401733-75402352	chr11:75402379-75404672	chr11:75401733-75404020	chr11:75404207-75404672	+	ENSG00000149273.15	RPS3	annotated	806	0	6	1122	0.41675284384694933	941	0	4	1228	0.4330418775885872
MXE_81	MXE@chr11@78121174@78124021-78124092@78127358-78127436@78139494	chr11:78124021-78124092	chr11:78127358-78127436	chr11:78121174-78124021	chr11:78124092-78139494	chr11:78121174-78127358	chr11:78127436-78139494	-	ENSG00000159063.14	ALG8	annotated	23	0	1	13	0.6216216216216216	15	0	0	11	
MXE_82	MXE@chr11@83472777@83483253-83483298@83484129-83484228@83532708	chr11:83483253-83483298	chr11:83484129-83484228	chr11:83472777-83483253	chr11:83483298-83532708	chr11:83472777-83484129	chr11:83484228-83532708	-	ENSG00000150672.19	DLG2	annotated	84	99	4	10	0.9289340101522843	49	71	9	18	0.8163265306122449
MXE_83	MXE@chr11@8474816@8480534-8480614@8567251-8567293@8594083	chr11:8480534-8480614	chr11:8567251-8567293	chr11:8474816-8480534	chr11:8480614-8594083	chr11:8474816-8567251	chr11:8567293-8594083	-	ENSG00000130413.16	STK33	annotated	0	1	0	0		0	2	0	0	
MXE_85	MXE@chr11@93794035@93794908-93796540@93796937-93797719@93801835	chr11:93794908-93796540	chr11:93796937-93797719	chr11:93794035-93794908	chr11:93796540-93801835	chr11:93794035-93796937	chr11:93797719-93801835	+	ENSG00000042429.12	MED17	annotated	30	0	0	22	0.5769230769230769	20	0	0	7	0.7407407407407407
MXE_87	MXE@chr12@102124041@102153869-102153989@102164438-102164608@102165729	chr12:102153869-102153989	chr12:102164438-102164608	chr12:102124041-102153869	chr12:102153989-102165729	chr12:102124041-102164438	chr12:102164608-102165729	+	ENSG00000185480.12	PARPBP	annotated	2	0	0	1		0	0	0	0	
MXE_88	MXE@chr12@10433942@10434486-10434530@10434995-10435039@10435312	chr12:10434486-10434530	chr12:10434995-10435039	chr12:10433942-10434486	chr12:10434530-10435312	chr12:10433942-10434995	chr12:10435039-10435312	-	ENSG00000205809.11	KLRC2	annotated	11	18	0	7	0.8055555555555556	55	124	0	32	0.8483412322274881
MXE_89	MXE@chr12@109939247@109947256-109947504@109951212-109951316@109953092	chr12:109947256-109947504	chr12:109951212-109951316	chr12:109939247-109947256	chr12:109947504-109953092	chr12:109939247-109951212	chr12:109951316-109953092	-	ENSG00000139436.22	GIT2	annotated	19	14	0	17	0.66	2	10	0	11	
MXE_90	MXE@chr12@110019328@110021108-110021301@110024046-110024112@110025742	chr12:110021108-110021301	chr12:110024046-110024112	chr12:110019328-110021108	chr12:110021301-110025742	chr12:110019328-110024046	chr12:110024112-110025742	+	ENSG00000076513.17	ANKRD13A	annotated	5	1	8	10		2	0	7	12	
MXE_91	MXE@chr12@110641627@110644880-110645129@110646428-110646734@110647211	chr12:110644880-110645129	chr12:110646428-110646734	chr12:110641627-110644880	chr12:110645129-110647211	chr12:110641627-110646428	chr12:110646734-110647211	+	ENSG00000204852.17	TCTN1	annotated	0	16	0	0		0	18	0	0	
MXE_92	MXE@chr12@110641627@110644880-110645143@110646428-110646734@110647211	chr12:110644880-110645143	chr12:110646428-110646734	chr12:110641627-110644880	chr12:110645143-110647211	chr12:110641627-110646428	chr12:110646734-110647211	+	ENSG00000204852.17	TCTN1	annotated	0	0	0	0		0	2	0	0	
MXE_93	MXE@chr12@110641627@110644973-110645129@110646428-110646734@110647211	chr12:110644973-110645129	chr12:110646428-110646734	chr12:110641627-110644973	chr12:110645129-110647211	chr12:110641627-110646428	chr12:110646734-110647211	+	ENSG00000204852.17	TCTN1	annotated	4	16	0	0	1.0	0	18	0	0	
MXE_96	MXE@chr12@120737467@120737837-120737988@120738049-120738188@120738280	chr12:120737837-120737988	chr12:120738049-120738188	chr12:120737467-120737837	chr12:120737988-120738280	chr12:120737467-120738049	chr12:120738188-120738280	+	ENSG00000122971.9	ACADS	annotated	19	34	0	0	1.0	22	35	0	0	1.0
MXE_97	MXE@chr12@121951530@121954120-121954334@121955699-121955918@121957074	chr12:121954120-121954334	chr12:121955699-121955918	chr12:121951530-121954120	chr12:121954334-121957074	chr12:121951530-121955699	chr12:121955918-121957074	+	ENSG00000158023.10	CFAP251	annotated	4	3	0	0		2	0	0	0	
MXE_98	MXE@chr12@122216869@122224512-122224644@122224645-122224748@122225965	chr12:122224512-122224644	chr12:122224645-122224748	chr12:122216869-122224512	chr12:122224644-122225965	chr12:122216869-122224645	chr12:122224748-122225965	-	ENSG00000184047.21	DIABLO	annotated	5	56	0	9	0.8714285714285714	1	23	0	11	0.6857142857142857
MXE_99	MXE@chr12@122218397@122224512-122224644@122224645-122224748@122225965	chr12:122224512-122224644	chr12:122224645-122224748	chr12:122218397-122224512	chr12:122224644-122225965	chr12:122218397-122224645	chr12:122224748-122225965	-	ENSG00000184047.21	DIABLO	annotated	88	56	19	9	0.8372093023255814	53	23	20	11	0.7102803738317757
MXE_100	MXE@chr12@123202319@123202624-123203084@123203114-123203375@123210056	chr12:123202624-123203084	chr12:123203114-123203375	chr12:123202319-123202624	chr12:123203084-123210056	chr12:123202319-123203114	chr12:123203375-123210056	-	ENSG00000051825.15	MPHOSPH9	annotated	6	1	0	1		2	0	0	0	
MXE_101	MXE@chr12@123652735@123659430-123659475@123659516-123659584@123659795	chr12:123659430-123659475	chr12:123659516-123659584	chr12:123652735-123659430	chr12:123659475-123659795	chr12:123652735-123659516	chr12:123659584-123659795	+	ENSG00000111358.14	GTF2H3	annotated	3	0	5	38	0.06521739130434782	0	0	0	14	
MXE_102	MXE@chr12@123655824@123659430-123659475@123659516-123659584@123659795	chr12:123659430-123659475	chr12:123659516-123659584	chr12:123655824-123659430	chr12:123659475-123659795	chr12:123655824-123659516	chr12:123659584-123659795	+	ENSG00000111358.14	GTF2H3	annotated	0	0	17	38	0.0	1	0	6	14	0.047619047619047616
MXE_103	MXE@chr12@131932312@131932722-131932833@131939173-131939275@131941292	chr12:131932722-131932833	chr12:131939173-131939275	chr12:131932312-131932722	chr12:131932833-131941292	chr12:131932312-131939173	chr12:131939275-131941292	+	ENSG00000177192.14	PUS1	annotated	3	0	28	34	0.046153846153846156	5	1	6	13	
MXE_104	MXE@chr12@132570540@132571068-132571231@132571307-132571524@132572288	chr12:132571068-132571231	chr12:132571307-132571524	chr12:132570540-132571068	chr12:132571231-132572288	chr12:132570540-132571307	chr12:132571524-132572288	+	ENSG00000112787.14	FBRSL1	annotated	47	16	30	73	0.3795180722891566	42	26	19	72	0.4276729559748428
MXE_105	MXE@chr12@132847130@132848085-132848155@132848182-132848257@132848641	chr12:132848085-132848155	chr12:132848182-132848257	chr12:132847130-132848085	chr12:132848155-132848641	chr12:132847130-132848182	chr12:132848257-132848641	-	ENSG00000072609.18	CHFR	annotated	22	19	0	2	0.9534883720930233	18	11	0	0	1.0
MXE_106	MXE@chr12@22513379@22517986-22518137@22519115-22519239@22523426	chr12:22517986-22518137	chr12:22519115-22519239	chr12:22513379-22517986	chr12:22518137-22523426	chr12:22513379-22519115	chr12:22519239-22523426	-	ENSG00000111731.13	C2CD5	annotated	4	3	28	51	0.08139534883720931	7	13	7	13	0.5
MXE_107	MXE@chr12@26914128@26914408-26914532@26916002-26916180@26917352	chr12:26914408-26914532	chr12:26916002-26916180	chr12:26914128-26914408	chr12:26914532-26917352	chr12:26914128-26916002	chr12:26916180-26917352	-	ENSG00000064102.15	INTS13	annotated	26	2	0	20	0.5833333333333334	18	0	0	10	
MXE_109	MXE@chr12@46387972@46455012-46455141@46537502-46537631@46652390	chr12:46455012-46455141	chr12:46537502-46537631	chr12:46387972-46455012	chr12:46455141-46652390	chr12:46387972-46537502	chr12:46537631-46652390	+	ENSG00000257261.8	SLC38A4-AS1	annotated	2	0	0	0		1	1	0	0	
MXE_110	MXE@chr12@46387972@46455012-46455141@46571256-46571412@46652390	chr12:46455012-46455141	chr12:46571256-46571412	chr12:46387972-46455012	chr12:46455141-46652390	chr12:46387972-46571256	chr12:46571412-46652390	+	ENSG00000257261.8	SLC38A4-AS1	annotated	2	0	0	0		1	1	0	1	
MXE_111	MXE@chr12@46387972@46455012-46455141@46571256-46571412@46651790	chr12:46455012-46455141	chr12:46571256-46571412	chr12:46387972-46455012	chr12:46455141-46651790	chr12:46387972-46571256	chr12:46571412-46651790	+	ENSG00000257261.8	SLC38A4-AS1	annotated	2	0	0	0		1	0	0	0	
MXE_112	MXE@chr12@48098124@48099062-48099154@48101469-48101516@48106028	chr12:48099062-48099154	chr12:48101469-48101516	chr12:48098124-48099062	chr12:48099154-48106028	chr12:48098124-48101469	chr12:48101516-48106028	-	ENSG00000079387.15	SENP1	annotated	0	0	3	3		0	0	4	2	
MXE_113	MXE@chr12@51049185@51052092-51052207@51053812-51053860@51055835	chr12:51052092-51052207	chr12:51053812-51053860	chr12:51049185-51052092	chr12:51052207-51055835	chr12:51049185-51053812	chr12:51053860-51055835	+	ENSG00000050426.16	LETMD1	annotated	60	0	11	94	0.36363636363636365	17	0	10	32	0.288135593220339
MXE_114	MXE@chr12@51687219@51688758-51688849@51689005-51689096@51699570	chr12:51688758-51688849	chr12:51689005-51689096	chr12:51687219-51688758	chr12:51688849-51699570	chr12:51687219-51689005	chr12:51689096-51699570	+	ENSG00000196876.19	SCN8A	annotated	1	6	15	18	0.175	0	1	4	2	
MXE_116	MXE@chr12@53173476@53173728-53173767@53179773-53180012@53180601	chr12:53173728-53173767	chr12:53179773-53180012	chr12:53173476-53173728	chr12:53173767-53180601	chr12:53173476-53179773	chr12:53180012-53180601	-	ENSG00000139631.20	CSAD	annotated	55	0	0	0	1.0	23	0	1	0	0.9583333333333334
MXE_117	MXE@chr12@53173770@53179621-53179666@53179777-53180012@53180567	chr12:53179621-53179666	chr12:53179777-53180012	chr12:53173770-53179621	chr12:53179666-53180567	chr12:53173770-53179777	chr12:53180012-53180567	-	ENSG00000139631.20	CSAD	annotated	0	0	0	0		1	0	0	0	
MXE_118	MXE@chr12@53295941@53296244-53296275@53296454-53296551@53297850	chr12:53296244-53296275	chr12:53296454-53296551	chr12:53295941-53296244	chr12:53296275-53297850	chr12:53295941-53296454	chr12:53296551-53297850	+	ENSG00000288663.1	ENSG00000288663	annotated	737	1080	1	28	0.9842903575297941	714	1013	0	34	0.9806927881885292
MXE_120	MXE@chr12@56569990@56571698-56571855@56580278-56580375@56581184	chr12:56571698-56571855	chr12:56580278-56580375	chr12:56569990-56571698	chr12:56571855-56581184	chr12:56569990-56580278	chr12:56580375-56581184	+	ENSG00000076067.14	RBMS2	annotated	11	10	0	0	1.0	9	9	0	0	
MXE_121	MXE@chr12@56670364@56671749-56671809@56672740-56672809@56672952	chr12:56671749-56671809	chr12:56672740-56672809	chr12:56670364-56671749	chr12:56671809-56672952	chr12:56670364-56672740	chr12:56672809-56672952	-	ENSG00000110958.16	PTGES3	annotated	483	0	0	349	0.5805288461538461	227	0	0	186	0.549636803874092
MXE_122	MXE@chr12@57535845@57538253-57538347@57538519-57538524@57541364	chr12:57538253-57538347	chr12:57538519-57538524	chr12:57535845-57538253	chr12:57538347-57541364	chr12:57535845-57538519	chr12:57538524-57541364	-	ENSG00000175203.17	DCTN2	annotated	0	0	330	21	0.0	1	0	123	9	0.007518796992481203
MXE_123	MXE@chr12@57694926@57695780-57696038@57696314-57696373@57715760	chr12:57695780-57696038	chr12:57696314-57696373	chr12:57694926-57695780	chr12:57696038-57715760	chr12:57694926-57696314	chr12:57696373-57715760	+	ENSG00000135506.17	OS9	annotated	201	0	0	181	0.5261780104712042	132	0	0	71	0.6502463054187192
MXE_124	MXE@chr12@57745217@57745745-57745873@57746589-57746720@57747018	chr12:57745745-57745873	chr12:57746589-57746720	chr12:57745217-57745745	chr12:57745873-57747018	chr12:57745217-57746589	chr12:57746720-57747018	+	ENSG00000135452.10	TSPAN31	annotated	41	0	0	122	0.25153374233128833	33	0	0	88	0.2727272727272727
MXE_125	MXE@chr12@57749504@57750442-57750563@57750656-57750765@57750923	chr12:57750442-57750563	chr12:57750656-57750765	chr12:57749504-57750442	chr12:57750563-57750923	chr12:57749504-57750656	chr12:57750765-57750923	-	ENSG00000135446.17	CDK4	annotated	0	0	47	62	0.0	0	0	45	58	0.0
MXE_126	MXE@chr12@64087026@64091276-64091378@64091893-64091926@64094932	chr12:64091276-64091378	chr12:64091893-64091926	chr12:64087026-64091276	chr12:64091378-64094932	chr12:64087026-64091893	chr12:64091926-64094932	+	ENSG00000196935.10	SRGAP1	annotated	0	0	2	3		0	1	2	3	
MXE_130	MXE@chr12@68746779@68747930-68748040@68748076-68748245@68752032	chr12:68747930-68748040	chr12:68748076-68748245	chr12:68746779-68747930	chr12:68748040-68752032	chr12:68746779-68748076	chr12:68748245-68752032	+	ENSG00000175782.11	SLC35E3	annotated	8	10	0	3		3	0	1	1	
MXE_132	MXE@chr12@7112064@7115130-7115219@7118267-7118677@7118899	chr12:7115130-7115219	chr12:7118267-7118677	chr12:7112064-7115130	chr12:7115219-7118899	chr12:7112064-7118267	chr12:7118677-7118899	+	ENSG00000205885.9	C1RL-AS1	annotated	0	1	0	0		0	0	0	0	
MXE_133	MXE@chr12@7112064@7115130-7115219@7118267-7118944@7119500	chr12:7115130-7115219	chr12:7118267-7118944	chr12:7112064-7115130	chr12:7115219-7119500	chr12:7112064-7118267	chr12:7118944-7119500	+	ENSG00000205885.9	C1RL-AS1	annotated	0	0	0	2		0	0	0	0	
MXE_136	MXE@chr12@8194481@8196257-8196383@8204058-8204175@8215806	chr12:8196257-8196383	chr12:8204058-8204175	chr12:8194481-8196257	chr12:8196383-8215806	chr12:8194481-8204058	chr12:8204175-8215806	+	ENSG00000226711.10	FAM66C	annotated	3	1	0	1		1	0	0	0	
MXE_137	MXE@chr12@8227845@8238737-8238914@8251395-8251507@8368982	chr12:8238737-8238914	chr12:8251395-8251507	chr12:8227845-8238737	chr12:8238914-8368982	chr12:8227845-8251395	chr12:8251507-8368982	+	ENSG00000215241.5	LINC02449	annotated	0	0	0	5		0	0	0	0	
