event_id	pos_id	exon	intron_a	intron_b	intron_c	strand	gene_id	gene_name	label	SRR601500_junction_a	SRR601500_junction_b	SRR601500_junction_c	SRR601500_PSI	SRR604528_junction_a	SRR604528_junction_b	SRR604528_junction_c	SRR604528_PSI
SE_112	SE@GL000195.1@140414-140448@138140-140548	GL000195.1:140414-140448	GL000195.1:138140-140414	GL000195.1:140448-140548	GL000195.1:138140-140548	+	ENSG00000308185.1	ENSG00000308185	annotated	0	0	0		2	1	0	
SE_113	SE@GL000195.1@140414-140516@138140-142143	GL000195.1:140414-140516	GL000195.1:138140-140414	GL000195.1:140516-142143	GL000195.1:138140-142143	+	ENSG00000308185.1	ENSG00000308185	annotated	0	1	0		2	3	0	
SE_114	SE@GL000195.1@140414-140516@138140-149089	GL000195.1:140414-140516	GL000195.1:138140-140414	GL000195.1:140516-149089	GL000195.1:138140-149089	+	ENSG00000308185.1	ENSG00000308185	annotated	0	0	0		2	0	0	
SE_115	SE@GL000195.1@140414-140516@138140-167612	GL000195.1:140414-140516	GL000195.1:138140-140414	GL000195.1:140516-167612	GL000195.1:138140-167612	+	ENSG00000308185.1	ENSG00000308185	annotated	0	0	0		2	0	0	
SE_116	SE@GL000195.1@140414-140516@138140-172694	GL000195.1:140414-140516	GL000195.1:138140-140414	GL000195.1:140516-172694	GL000195.1:138140-172694	+	ENSG00000308185.1	ENSG00000308185	annotated	0	0	0		2	0	0	
SE_117	SE@GL000195.1@140425-140448@138140-142143	GL000195.1:140425-140448	GL000195.1:138140-140425	GL000195.1:140448-142143	GL000195.1:138140-142143	+	ENSG00000308185.1	ENSG00000308185	annotated	1	0	0		3	0	0	
SE_118	SE@GL000195.1@140425-140448@138140-140548	GL000195.1:140425-140448	GL000195.1:138140-140425	GL000195.1:140448-140548	GL000195.1:138140-140548	+	ENSG00000308185.1	ENSG00000308185	annotated	1	0	0		3	1	0	
SE_119	SE@GL000195.1@140425-140516@138140-142143	GL000195.1:140425-140516	GL000195.1:138140-140425	GL000195.1:140516-142143	GL000195.1:138140-142143	+	ENSG00000308185.1	ENSG00000308185	annotated	1	1	0		3	3	0	
SE_120	SE@GL000195.1@140425-140516@138140-149089	GL000195.1:140425-140516	GL000195.1:138140-140425	GL000195.1:140516-149089	GL000195.1:138140-149089	+	ENSG00000308185.1	ENSG00000308185	annotated	1	0	0		3	0	0	
SE_121	SE@GL000195.1@140425-140516@138140-172694	GL000195.1:140425-140516	GL000195.1:138140-140425	GL000195.1:140516-172694	GL000195.1:138140-172694	+	ENSG00000308185.1	ENSG00000308185	annotated	1	0	0		3	0	0	
SE_122	SE@GL000195.1@140425-140516@138140-167612	GL000195.1:140425-140516	GL000195.1:138140-140425	GL000195.1:140516-167612	GL000195.1:138140-167612	+	ENSG00000308185.1	ENSG00000308185	annotated	1	0	0		3	0	0	
SE_123	SE@GL000195.1@140548-140875@140448-142143	GL000195.1:140548-140875	GL000195.1:140448-140548	GL000195.1:140875-142143	GL000195.1:140448-142143	+	ENSG00000308185.1	ENSG00000308185	annotated	0	0	0		1	0	0	
SE_131	SE@GL000195.1@142143-142240@140516-167612	GL000195.1:142143-142240	GL000195.1:140516-142143	GL000195.1:142240-167612	GL000195.1:140516-167612	+	ENSG00000308185.1	ENSG00000308185	annotated	1	0	0		3	0	0	
SE_135	SE@GL000195.1@142143-142240@140516-149745	GL000195.1:142143-142240	GL000195.1:140516-142143	GL000195.1:142240-149745	GL000195.1:140516-149745	+	ENSG00000308185.1	ENSG00000308185	annotated	1	0	0		3	0	0	
SE_136	SE@GL000195.1@142143-142240@140516-164904	GL000195.1:142143-142240	GL000195.1:140516-142143	GL000195.1:142240-164904	GL000195.1:140516-164904	+	ENSG00000308185.1	ENSG00000308185	annotated	1	0	0		3	0	0	
SE_137	SE@GL000195.1@142143-142240@140516-151955	GL000195.1:142143-142240	GL000195.1:140516-142143	GL000195.1:142240-151955	GL000195.1:140516-151955	+	ENSG00000308185.1	ENSG00000308185	annotated	1	0	0		3	0	0	
SE_138	SE@GL000195.1@142143-142240@140516-172694	GL000195.1:142143-142240	GL000195.1:140516-142143	GL000195.1:142240-172694	GL000195.1:140516-172694	+	ENSG00000308185.1	ENSG00000308185	annotated	1	0	0		3	0	0	
SE_139	SE@GL000195.1@142143-142240@140516-149089	GL000195.1:142143-142240	GL000195.1:140516-142143	GL000195.1:142240-149089	GL000195.1:140516-149089	+	ENSG00000308185.1	ENSG00000308185	annotated	1	0	0		3	0	0	
SE_151	SE@GL000195.1@143414-143629@142240-148038	GL000195.1:143414-143629	GL000195.1:142240-143414	GL000195.1:143629-148038	GL000195.1:142240-148038	+	ENSG00000308185.1	ENSG00000308185	annotated	0	0	0		0	0	1	
SE_155	SE@GL000195.1@143414-143629@142240-176293	GL000195.1:143414-143629	GL000195.1:142240-143414	GL000195.1:143629-176293	GL000195.1:142240-176293	+	ENSG00000308185.1	ENSG00000308185	annotated	0	0	0		0	0	2	
SE_156	SE@GL000195.1@143417-143629@142240-176293	GL000195.1:143417-143629	GL000195.1:142240-143417	GL000195.1:143629-176293	GL000195.1:142240-176293	+	ENSG00000308185.1	ENSG00000308185	annotated	0	0	0		0	0	2	
SE_160	SE@GL000195.1@143417-143629@142240-148038	GL000195.1:143417-143629	GL000195.1:142240-143417	GL000195.1:143629-148038	GL000195.1:142240-148038	+	ENSG00000308185.1	ENSG00000308185	annotated	0	0	0		0	0	1	
SE_166	SE@GL000195.1@143515-143629@142240-176293	GL000195.1:143515-143629	GL000195.1:142240-143515	GL000195.1:143629-176293	GL000195.1:142240-176293	+	ENSG00000308185.1	ENSG00000308185	annotated	0	0	0		0	0	2	
SE_170	SE@GL000195.1@143515-143629@142240-148038	GL000195.1:143515-143629	GL000195.1:142240-143515	GL000195.1:143629-148038	GL000195.1:142240-148038	+	ENSG00000308185.1	ENSG00000308185	annotated	0	0	0		0	0	1	
SE_243	SE@GL000195.1@173966-174130@142240-176293	GL000195.1:173966-174130	GL000195.1:142240-173966	GL000195.1:174130-176293	GL000195.1:142240-176293	+	ENSG00000308185.1	ENSG00000308185	annotated	0	0	0		0	0	2	
SE_246	SE@GL000195.1@74121-74180@68450-86518	GL000195.1:74121-74180	GL000195.1:68450-74121	GL000195.1:74180-86518	GL000195.1:68450-86518	-	ENSG00000303853.1	ENSG00000303853	annotated	0	1	0		0	0	0	
SE_253	SE@GL000195.1@84144-84250@68450-86518	GL000195.1:84144-84250	GL000195.1:68450-84144	GL000195.1:84250-86518	GL000195.1:68450-86518	-	ENSG00000303853.1	ENSG00000303853	annotated	0	0	0		0	2	0	
SE_254	SE@GL000195.1@84144-84250@83958-86518	GL000195.1:84144-84250	GL000195.1:83958-84144	GL000195.1:84250-86518	GL000195.1:83958-86518	-	ENSG00000303853.1	ENSG00000303853	annotated	0	0	0		0	2	0	
SE_257	SE@GL000195.1@84216-84250@68450-86518	GL000195.1:84216-84250	GL000195.1:68450-84216	GL000195.1:84250-86518	GL000195.1:68450-86518	-	ENSG00000303853.1	ENSG00000303853	annotated	0	0	0		0	2	0	
SE_258	SE@GL000195.1@84216-84250@84116-86518	GL000195.1:84216-84250	GL000195.1:84116-84216	GL000195.1:84250-86518	GL000195.1:84116-86518	-	ENSG00000303853.1	ENSG00000303853	annotated	0	0	0		0	2	0	
SE_358	SE@GL000205.2@138200-138291@136571-140573	GL000205.2:138200-138291	GL000205.2:136571-138200	GL000205.2:138291-140573	GL000205.2:136571-140573	-	ENSG00000307088.1	ENSG00000307088	annotated	0	2	0		0	0	0	
SE_359	SE@GL000205.2@138200-138291@138010-140573	GL000205.2:138200-138291	GL000205.2:138010-138200	GL000205.2:138291-140573	GL000205.2:138010-140573	-	ENSG00000307088.1	ENSG00000307088	annotated	1	2	0		1	0	0	
SE_360	SE@GL000205.2@138200-138291@106033-140573	GL000205.2:138200-138291	GL000205.2:106033-138200	GL000205.2:138291-140573	GL000205.2:106033-140573	-	ENSG00000307088.1	ENSG00000307088	annotated	0	2	0		0	0	0	
SE_362	SE@GL000205.2@138200-138302@136571-140573	GL000205.2:138200-138302	GL000205.2:136571-138200	GL000205.2:138302-140573	GL000205.2:136571-140573	-	ENSG00000307088.1	ENSG00000307088	annotated	0	0	0		0	1	0	
SE_363	SE@GL000205.2@138200-138302@106033-140573	GL000205.2:138200-138302	GL000205.2:106033-138200	GL000205.2:138302-140573	GL000205.2:106033-140573	-	ENSG00000307088.1	ENSG00000307088	annotated	0	0	0		0	1	0	
SE_364	SE@GL000205.2@138200-138302@138010-140573	GL000205.2:138200-138302	GL000205.2:138010-138200	GL000205.2:138302-140573	GL000205.2:138010-140573	-	ENSG00000307088.1	ENSG00000307088	annotated	1	0	0		1	1	0	
SE_365	SE@GL000205.2@138200-138325@138010-140573	GL000205.2:138200-138325	GL000205.2:138010-138200	GL000205.2:138325-140573	GL000205.2:138010-140573	-	ENSG00000307088.1	ENSG00000307088	annotated	1	0	0		1	0	0	
SE_369	SE@GL000205.2@138200-138329@138010-140573	GL000205.2:138200-138329	GL000205.2:138010-138200	GL000205.2:138329-140573	GL000205.2:138010-140573	-	ENSG00000307088.1	ENSG00000307088	annotated	1	0	0		1	0	0	
SE_372	SE@GL000205.2@138200-138347@138010-140573	GL000205.2:138200-138347	GL000205.2:138010-138200	GL000205.2:138347-140573	GL000205.2:138010-140573	-	ENSG00000307088.1	ENSG00000307088	annotated	1	0	0		1	0	0	
SE_374	SE@GL000205.2@138268-138291@138168-140327	GL000205.2:138268-138291	GL000205.2:138168-138268	GL000205.2:138291-140327	GL000205.2:138168-140327	-	ENSG00000307088.1	ENSG00000307088	annotated	0	0	0		1	0	0	
SE_375	SE@GL000205.2@138268-138291@138168-140573	GL000205.2:138268-138291	GL000205.2:138168-138268	GL000205.2:138291-140573	GL000205.2:138168-140573	-	ENSG00000307088.1	ENSG00000307088	annotated	0	2	0		1	0	0	
SE_376	SE@GL000205.2@138268-138302@138168-140327	GL000205.2:138268-138302	GL000205.2:138168-138268	GL000205.2:138302-140327	GL000205.2:138168-140327	-	ENSG00000307088.1	ENSG00000307088	annotated	0	0	0		1	0	0	
SE_377	SE@GL000205.2@138268-138302@138168-140573	GL000205.2:138268-138302	GL000205.2:138168-138268	GL000205.2:138302-140573	GL000205.2:138168-140573	-	ENSG00000307088.1	ENSG00000307088	annotated	0	0	0		1	1	0	
SE_378	SE@GL000205.2@138268-138325@138168-140573	GL000205.2:138268-138325	GL000205.2:138168-138268	GL000205.2:138325-140573	GL000205.2:138168-140573	-	ENSG00000307088.1	ENSG00000307088	annotated	0	0	0		1	0	0	
SE_379	SE@GL000205.2@138268-138329@138168-140573	GL000205.2:138268-138329	GL000205.2:138168-138268	GL000205.2:138329-140573	GL000205.2:138168-140573	-	ENSG00000307088.1	ENSG00000307088	annotated	0	0	0		1	0	0	
SE_380	SE@GL000205.2@138268-138347@138168-140573	GL000205.2:138268-138347	GL000205.2:138168-138268	GL000205.2:138347-140573	GL000205.2:138168-140573	-	ENSG00000307088.1	ENSG00000307088	annotated	0	0	0		1	0	0	
SE_382	SE@GL000205.2@60222-60360@58312-63563	GL000205.2:60222-60360	GL000205.2:58312-60222	GL000205.2:60360-63563	GL000205.2:58312-63563	-	ENSG00000307088.1	ENSG00000307088	annotated	0	0	0		0	0	1	
SE_434	SE@GL000218.1@39116-39162@39019-39874	GL000218.1:39116-39162	GL000218.1:39019-39116	GL000218.1:39162-39874	GL000218.1:39019-39874	-	ENSG00000301761.1	ENSG00000301761	annotated	0	0	1		0	0	0	
SE_436	SE@GL000218.1@39116-39203@39019-39874	GL000218.1:39116-39203	GL000218.1:39019-39116	GL000218.1:39203-39874	GL000218.1:39019-39874	-	ENSG00000301761.1	ENSG00000301761	annotated	0	0	1		0	0	0	
SE_437	SE@GL000218.1@39116-39377@39019-39874	GL000218.1:39116-39377	GL000218.1:39019-39116	GL000218.1:39377-39874	GL000218.1:39019-39874	-	ENSG00000301761.1	ENSG00000301761	annotated	0	0	1		0	0	0	
SE_439	SE@GL000218.1@39583-39770@39019-39874	GL000218.1:39583-39770	GL000218.1:39019-39583	GL000218.1:39770-39874	GL000218.1:39019-39874	-	ENSG00000301761.1	ENSG00000301761	annotated	0	0	1		0	0	0	
SE_440	SE@GL000218.1@39874-40028@39088-40642	GL000218.1:39874-40028	GL000218.1:39088-39874	GL000218.1:40028-40642	GL000218.1:39088-40642	-	ENSG00000301761.1	ENSG00000301761	annotated	0	4	0		0	2	0	
SE_441	SE@GL000218.1@39874-40028@39059-40642	GL000218.1:39874-40028	GL000218.1:39059-39874	GL000218.1:40028-40642	GL000218.1:39059-40642	-	ENSG00000301761.1	ENSG00000301761	annotated	0	4	0		0	2	0	
SE_442	SE@GL000218.1@39874-40028@34749-40642	GL000218.1:39874-40028	GL000218.1:34749-39874	GL000218.1:40028-40642	GL000218.1:34749-40642	-	ENSG00000301761.1	ENSG00000301761	annotated	0	4	0		0	2	0	
SE_443	SE@GL000218.1@39874-40028@34404-40642	GL000218.1:39874-40028	GL000218.1:34404-39874	GL000218.1:40028-40642	GL000218.1:34404-40642	-	ENSG00000301761.1	ENSG00000301761	annotated	0	4	0		0	2	0	
SE_444	SE@GL000218.1@39874-40028@39019-40642	GL000218.1:39874-40028	GL000218.1:39019-39874	GL000218.1:40028-40642	GL000218.1:39019-40642	-	ENSG00000301761.1	ENSG00000301761	annotated	1	4	0		0	2	0	
SE_449	SE@GL000218.1@39874-40055@39019-40642	GL000218.1:39874-40055	GL000218.1:39019-39874	GL000218.1:40055-40642	GL000218.1:39019-40642	-	ENSG00000301761.1	ENSG00000301761	annotated	1	0	0		0	0	0	
SE_450	SE@GL000218.1@39874-40872@34404-95174	GL000218.1:39874-40872	GL000218.1:34404-39874	GL000218.1:40872-95174	GL000218.1:34404-95174	-	ENSG00000301761.1	ENSG00000301761	annotated	0	5	0		0	4	0	
SE_453	SE@GL000218.1@40642-40872@34404-95174	GL000218.1:40642-40872	GL000218.1:34404-40642	GL000218.1:40872-95174	GL000218.1:34404-95174	-	ENSG00000301761.1	ENSG00000301761	annotated	0	5	0		0	4	0	
SE_454	SE@GL000218.1@40642-40872@28387-95174	GL000218.1:40642-40872	GL000218.1:28387-40642	GL000218.1:40872-95174	GL000218.1:28387-95174	-	ENSG00000301761.1	ENSG00000301761	annotated	0	5	0		0	4	0	
SE_455	SE@GL000218.1@45543-45769@40872-95174	GL000218.1:45543-45769	GL000218.1:40872-45543	GL000218.1:45769-95174	GL000218.1:40872-95174	-	ENSG00000301761.1	ENSG00000301761	annotated	0	1	5		0	0	4	
SE_456	SE@GL000218.1@45543-45769@40872-47914	GL000218.1:45543-45769	GL000218.1:40872-45543	GL000218.1:45769-47914	GL000218.1:40872-47914	-	ENSG00000301761.1	ENSG00000301761	annotated	0	0	0		0	0	1	
SE_457	SE@GL000218.1@47914-47967@40872-92041	GL000218.1:47914-47967	GL000218.1:40872-47914	GL000218.1:47967-92041	GL000218.1:40872-92041	-	ENSG00000301761.1	ENSG00000301761	annotated	0	0	0		1	0	1	
SE_458	SE@GL000218.1@47914-47967@45769-95174	GL000218.1:47914-47967	GL000218.1:45769-47914	GL000218.1:47967-95174	GL000218.1:45769-95174	-	ENSG00000301761.1	ENSG00000301761	annotated	0	0	1		0	0	0	
SE_459	SE@GL000218.1@47914-47967@40872-95174	GL000218.1:47914-47967	GL000218.1:40872-47914	GL000218.1:47967-95174	GL000218.1:40872-95174	-	ENSG00000301761.1	ENSG00000301761	annotated	0	0	5		1	0	4	
SE_460	SE@GL000218.1@47914-48142@45769-95174	GL000218.1:47914-48142	GL000218.1:45769-47914	GL000218.1:48142-95174	GL000218.1:45769-95174	-	ENSG00000301761.1	ENSG00000301761	annotated	0	3	1		0	5	0	
SE_461	SE@GL000218.1@47914-48142@40872-92041	GL000218.1:47914-48142	GL000218.1:40872-47914	GL000218.1:48142-92041	GL000218.1:40872-92041	-	ENSG00000301761.1	ENSG00000301761	annotated	0	0	0		1	1	1	
SE_462	SE@GL000218.1@47914-48142@40872-58250	GL000218.1:47914-48142	GL000218.1:40872-47914	GL000218.1:48142-58250	GL000218.1:40872-58250	-	ENSG00000301761.1	ENSG00000301761	annotated	0	0	0		1	0	0	
SE_463	SE@GL000218.1@47914-48142@40872-95174	GL000218.1:47914-48142	GL000218.1:40872-47914	GL000218.1:48142-95174	GL000218.1:40872-95174	-	ENSG00000301761.1	ENSG00000301761	annotated	0	3	5		1	5	4	
SE_464	SE@GL000218.1@47914-48142@40872-63817	GL000218.1:47914-48142	GL000218.1:40872-47914	GL000218.1:48142-63817	GL000218.1:40872-63817	-	ENSG00000301761.1	ENSG00000301761	annotated	0	0	0		1	0	0	
SE_465	SE@GL000218.1@55882-55978@48142-95174	GL000218.1:55882-55978	GL000218.1:48142-55882	GL000218.1:55978-95174	GL000218.1:48142-95174	-	ENSG00000301761.1	ENSG00000301761	annotated	0	0	3		0	0	5	
SE_466	SE@GL000218.1@56861-56968@48142-95174	GL000218.1:56861-56968	GL000218.1:48142-56861	GL000218.1:56968-95174	GL000218.1:48142-95174	-	ENSG00000301761.1	ENSG00000301761	annotated	0	0	3		0	0	5	
SE_467	SE@GL000218.1@58250-58407@48142-95174	GL000218.1:58250-58407	GL000218.1:48142-58250	GL000218.1:58407-95174	GL000218.1:48142-95174	-	ENSG00000301761.1	ENSG00000301761	annotated	0	0	3		0	0	5	
SE_468	SE@GL000218.1@58250-58407@40872-95174	GL000218.1:58250-58407	GL000218.1:40872-58250	GL000218.1:58407-95174	GL000218.1:40872-95174	-	ENSG00000301761.1	ENSG00000301761	annotated	0	0	5		0	0	4	
SE_469	SE@GL000218.1@58339-58407@48142-95174	GL000218.1:58339-58407	GL000218.1:48142-58339	GL000218.1:58407-95174	GL000218.1:48142-95174	-	ENSG00000301761.1	ENSG00000301761	annotated	0	0	3		0	0	5	
SE_470	SE@GL000218.1@63817-64019@40872-95174	GL000218.1:63817-64019	GL000218.1:40872-63817	GL000218.1:64019-95174	GL000218.1:40872-95174	-	ENSG00000301761.1	ENSG00000301761	annotated	0	0	5		0	0	4	
SE_471	SE@GL000218.1@63817-64019@48142-92041	GL000218.1:63817-64019	GL000218.1:48142-63817	GL000218.1:64019-92041	GL000218.1:48142-92041	-	ENSG00000301761.1	ENSG00000301761	annotated	0	0	0		0	0	1	
SE_472	SE@GL000218.1@63817-64019@48142-95174	GL000218.1:63817-64019	GL000218.1:48142-63817	GL000218.1:64019-95174	GL000218.1:48142-95174	-	ENSG00000301761.1	ENSG00000301761	annotated	0	0	3		0	0	5	
SE_473	SE@GL000218.1@63817-64019@40872-92041	GL000218.1:63817-64019	GL000218.1:40872-63817	GL000218.1:64019-92041	GL000218.1:40872-92041	-	ENSG00000301761.1	ENSG00000301761	annotated	0	0	0		0	0	1	
SE_474	SE@GL000218.1@69417-69460@48142-95174	GL000218.1:69417-69460	GL000218.1:48142-69417	GL000218.1:69460-95174	GL000218.1:48142-95174	-	ENSG00000301761.1	ENSG00000301761	annotated	0	0	3		0	0	5	
SE_475	SE@GL000218.1@88537-88725@85906-95174	GL000218.1:88537-88725	GL000218.1:85906-88537	GL000218.1:88725-95174	GL000218.1:85906-95174	-	ENSG00000301761.1	ENSG00000301761	annotated	1	0	1		0	0	0	
SE_476	SE@GL000218.1@88537-88725@48142-95174	GL000218.1:88537-88725	GL000218.1:48142-88537	GL000218.1:88725-95174	GL000218.1:48142-95174	-	ENSG00000301761.1	ENSG00000301761	annotated	0	0	3		0	0	5	
SE_477	SE@GL000218.1@88537-89058@48142-92041	GL000218.1:88537-89058	GL000218.1:48142-88537	GL000218.1:89058-92041	GL000218.1:48142-92041	-	ENSG00000301761.1	ENSG00000301761	annotated	0	1	0		0	0	1	
SE_478	SE@GL000218.1@88537-89058@48142-95174	GL000218.1:88537-89058	GL000218.1:48142-88537	GL000218.1:89058-95174	GL000218.1:48142-95174	-	ENSG00000301761.1	ENSG00000301761	annotated	0	2	3		0	1	5	
SE_479	SE@GL000218.1@88537-89058@85906-95174	GL000218.1:88537-89058	GL000218.1:85906-88537	GL000218.1:89058-95174	GL000218.1:85906-95174	-	ENSG00000301761.1	ENSG00000301761	annotated	1	2	1		0	1	0	
SE_480	SE@GL000218.1@88537-89058@85906-92041	GL000218.1:88537-89058	GL000218.1:85906-88537	GL000218.1:89058-92041	GL000218.1:85906-92041	-	ENSG00000301761.1	ENSG00000301761	annotated	1	1	0		0	0	0	
SE_481	SE@GL000218.1@88843-89058@88725-95174	GL000218.1:88843-89058	GL000218.1:88725-88843	GL000218.1:89058-95174	GL000218.1:88725-95174	-	ENSG00000301761.1	ENSG00000301761	annotated	0	2	0		0	1	0	
SE_482	SE@GL000218.1@88935-89058@88725-95174	GL000218.1:88935-89058	GL000218.1:88725-88935	GL000218.1:89058-95174	GL000218.1:88725-95174	-	ENSG00000301761.1	ENSG00000301761	annotated	0	2	0		0	1	0	
SE_483	SE@GL000218.1@92041-92100@48142-95174	GL000218.1:92041-92100	GL000218.1:48142-92041	GL000218.1:92100-95174	GL000218.1:48142-95174	-	ENSG00000301761.1	ENSG00000301761	annotated	0	0	3		1	1	5	
SE_484	SE@GL000218.1@92041-92100@40872-95174	GL000218.1:92041-92100	GL000218.1:40872-92041	GL000218.1:92100-95174	GL000218.1:40872-95174	-	ENSG00000301761.1	ENSG00000301761	annotated	0	0	5		1	1	4	
SE_485	SE@GL000218.1@92041-92100@64019-95174	GL000218.1:92041-92100	GL000218.1:64019-92041	GL000218.1:92100-95174	GL000218.1:64019-95174	-	ENSG00000301761.1	ENSG00000301761	annotated	0	0	0		0	1	0	
SE_486	SE@GL000218.1@92041-92100@85906-95174	GL000218.1:92041-92100	GL000218.1:85906-92041	GL000218.1:92100-95174	GL000218.1:85906-95174	-	ENSG00000301761.1	ENSG00000301761	annotated	0	0	1		0	1	0	
SE_487	SE@GL000218.1@92041-92100@47967-95174	GL000218.1:92041-92100	GL000218.1:47967-92041	GL000218.1:92100-95174	GL000218.1:47967-95174	-	ENSG00000301761.1	ENSG00000301761	annotated	0	0	0		0	1	0	
SE_488	SE@GL000218.1@92041-92100@9922-95174	GL000218.1:92041-92100	GL000218.1:9922-92041	GL000218.1:92100-95174	GL000218.1:9922-95174	-	ENSG00000301761.1	ENSG00000301761	annotated	0	0	0		0	1	0	
SE_489	SE@GL000218.1@92041-92100@89058-95174	GL000218.1:92041-92100	GL000218.1:89058-92041	GL000218.1:92100-95174	GL000218.1:89058-95174	-	ENSG00000301761.1	ENSG00000301761	annotated	1	0	2		0	1	1	
SE_490	SE@GL000218.1@94559-94769@48142-95174	GL000218.1:94559-94769	GL000218.1:48142-94559	GL000218.1:94769-95174	GL000218.1:48142-95174	-	ENSG00000301761.1	ENSG00000301761	annotated	0	0	3		0	0	5	
SE_491	SE@GL000218.1@94559-94829@48142-95174	GL000218.1:94559-94829	GL000218.1:48142-94559	GL000218.1:94829-95174	GL000218.1:48142-95174	-	ENSG00000301761.1	ENSG00000301761	annotated	0	0	3		0	0	5	
SE_493	SE@GL000218.1@96507-96594@95232-97368	GL000218.1:96507-96594	GL000218.1:95232-96507	GL000218.1:96594-97368	GL000218.1:95232-97368	-	ENSG00000301761.1	ENSG00000301761	annotated	0	0	10	0.0	0	0	11	0.0
