sample	bam_path	group	technology
SRR1797087	../shiba-run-data/target/star-output/SRR1797087/Aligned.sortedByCoord.out.bam	target	short
SRR1797107	../shiba-run-data/target/star-output/SRR1797107/Aligned.sortedByCoord.out.bam	target	short
SRR1797111	../shiba-run-data/target/star-output/SRR1797111/Aligned.sortedByCoord.out.bam	target	short
SRR1799022	../shiba-run-data/target/star-output/SRR1799022/Aligned.sortedByCoord.out.bam	target	short
SRR1799025	../shiba-run-data/target/star-output/SRR1799025/Aligned.sortedByCoord.out.bam	target	short
SRR1799041	../shiba-run-data/target/star-output/SRR1799041/Aligned.sortedByCoord.out.bam	target	short
SRR1799042	../shiba-run-data/target/star-output/SRR1799042/Aligned.sortedByCoord.out.bam	target	short
SRR1799057	../shiba-run-data/target/star-output/SRR1799057/Aligned.sortedByCoord.out.bam	target	short
SRR1799058	../shiba-run-data/target/star-output/SRR1799058/Aligned.sortedByCoord.out.bam	target	short
SRR1799059	../shiba-run-data/target/star-output/SRR1799059/Aligned.sortedByCoord.out.bam	target	short
SRR1799061	../shiba-run-data/target/star-output/SRR1799061/Aligned.sortedByCoord.out.bam	target	short
SRR1799062	../shiba-run-data/target/star-output/SRR1799062/Aligned.sortedByCoord.out.bam	target	short
SRR1799067	../shiba-run-data/target/star-output/SRR1799067/Aligned.sortedByCoord.out.bam	target	short
SRR1799069	../shiba-run-data/target/star-output/SRR1799069/Aligned.sortedByCoord.out.bam	target	short
SRR1799081	../shiba-run-data/target/star-output/SRR1799081/Aligned.sortedByCoord.out.bam	target	short
SRR1810588	../shiba-run-data/target/star-output/SRR1810588/Aligned.sortedByCoord.out.bam	target	short
SRR2042833	../shiba-run-data/target/star-output/SRR2042833/Aligned.sortedByCoord.out.bam	target	short
SRR2042845	../shiba-run-data/target/star-output/SRR2042845/Aligned.sortedByCoord.out.bam	target	short
SRR2042853	../shiba-run-data/target/star-output/SRR2042853/Aligned.sortedByCoord.out.bam	target	short
SRR2042854	../shiba-run-data/target/star-output/SRR2042854/Aligned.sortedByCoord.out.bam	target	short
SRR2042856	../shiba-run-data/target/star-output/SRR2042856/Aligned.sortedByCoord.out.bam	target	short
SRR2083154	../shiba-run-data/target/star-output/SRR2083154/Aligned.sortedByCoord.out.bam	target	short
SRR2083162	../shiba-run-data/target/star-output/SRR2083162/Aligned.sortedByCoord.out.bam	target	short
SRR2083171	../shiba-run-data/target/star-output/SRR2083171/Aligned.sortedByCoord.out.bam	target	short
SRR2083176	../shiba-run-data/target/star-output/SRR2083176/Aligned.sortedByCoord.out.bam	target	short
SRR2083188	../shiba-run-data/target/star-output/SRR2083188/Aligned.sortedByCoord.out.bam	target	short
SRR2239703	../shiba-run-data/target/star-output/SRR2239703/Aligned.sortedByCoord.out.bam	target	short
SRR2239717	../shiba-run-data/target/star-output/SRR2239717/Aligned.sortedByCoord.out.bam	target	short
SRR3162160	../shiba-run-data/target/star-output/SRR3162160/Aligned.sortedByCoord.out.bam	target	short
SRR3162195	../shiba-run-data/target/star-output/SRR3162195/Aligned.sortedByCoord.out.bam	target	short
SRR3162212	../shiba-run-data/target/star-output/SRR3162212/Aligned.sortedByCoord.out.bam	target	short
SRR3162237	../shiba-run-data/target/star-output/SRR3162237/Aligned.sortedByCoord.out.bam	target	short
SRR3162253	../shiba-run-data/target/star-output/SRR3162253/Aligned.sortedByCoord.out.bam	target	short
SRR4376029	../shiba-run-data/target/star-output/SRR4376029/Aligned.sortedByCoord.out.bam	target	short
SRR4416297	../shiba-run-data/target/star-output/SRR4416297/Aligned.sortedByCoord.out.bam	target	short
SRR4419554	../shiba-run-data/target/star-output/SRR4419554/Aligned.sortedByCoord.out.bam	target	short
SRR4419565	../shiba-run-data/target/star-output/SRR4419565/Aligned.sortedByCoord.out.bam	target	short
